country,project,id,year,month,date,site,treatment,plot_id,functional_group,family,name_2020,genus,species,individual_nr,plant_height_cm,nr_leaves,bulk,wet_mass_total_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,dry_mass_total_g,number_leaves_scan,leaf_area_total_cm2,wet_mass_g,dry_mass_g,leaf_area_cm2,sla_cm2_g,ldmc,leaf_thickness_ave_mm,area_flag,dry_flag,wet_flag
PE,Puna,ABR9697,2019,April,2019-04-10,ACJ,C,5,Gramminoid,Juncaceae,Luzula racemosa,Luzula,racemosa,4,13,2,NA,0.166,0.093,0.183,0.102,0.037,2,8.6772,0.083,0.0185,4.3386,234.5189189189189,0.2228915662650602,0.126,NA,NA,NA
PE,Puna,ABS9288,2019,April,2019-04-10,ACJ,C,5,Gramminoid,Juncaceae,Luzula racemosa,Luzula,racemosa,2,22,3,NA,0.3,0.178,0.106,0.2,0.105,2,11.2939,0.15,0.0525,5.64695,107.56095238095239,0.35,0.16133333333333333,NA,NA,NA
PE,Puna,ABT3839,2019,April,2019-04-10,ACJ,C,5,Gramminoid,Juncaceae,Luzula racemosa,Luzula,racemosa,5,22,2,NA,0.189,0.205,0.185,0.143,0.077,2,7.9146,0.0945,0.0385,3.9573,102.78701298701299,0.4074074074074074,0.17766666666666667,NA,NA,NA
PE,Puna,ABV8366,2019,April,2019-04-10,ACJ,C,5,Gramminoid,Juncaceae,Luzula racemosa,Luzula,racemosa,1,15,2,NA,0.357,0.181,0.195,0.202,0.1,2,16.4302,0.1785,0.05,8.2151,164.302,0.2801120448179272,0.19266666666666668,NA,NA,NA
PE,Puna,ABX2142,2019,April,2019-04-10,ACJ,C,3,Forb,Asteraceae,Senecio rhizomathus,Senecio,rhizomathus,3,13,1,NA,0.389,0.248,0.262,0.276,0.045,1,12.1469,0.389,0.045,12.1469,269.93111111111114,0.11568123393316194,0.262,NA,NA,NA
PE,Puna,ABY8371,2019,April,2019-04-10,TRE,C,1,Gramminoid,Poaceae,Calamagrostis cf. amoena,Calamagrostis,cf. amoena,1,59,1,NA,0.278,0.536,0.601,0.301,0.135,1,3.81,0.278,0.135,3.81,28.22222222222222,0.4856115107913669,0.47933333333333333,NA,NA,NA
PE,Puna,ABZ5093,2019,April,2019-04-10,TRE,C,1,Gramminoid,Poaceae,Calamagrostis cf. amoena,Calamagrostis,cf. amoena,2,42,1,NA,0.237,0.502,0.489,0.305,0.095,1,3.0122,0.237,0.095,3.0122,31.70736842105263,0.40084388185654013,0.432,NA,NA,NA
PE,Puna,ACA7678,2019,April,2019-04-10,TRE,C,1,Gramminoid,Poaceae,Calamagrostis cf. amoena,Calamagrostis,cf. amoena,5,32,1,NA,0.151,0.444,0.481,0.494,0.07,1,2.6183,0.151,0.07,2.6183,37.40428571428571,0.4635761589403974,0.473,NA,NA,NA
PE,Puna,ACB4290,2019,April,2019-04-10,TRE,C,1,Gramminoid,Poaceae,Calamagrostis cf. amoena,Calamagrostis,cf. amoena,3,31,1,NA,0.064,0.342,0.335,0.295,0.028,1,1.8348,0.064,0.028,1.8348,65.52857142857142,0.4375,0.324,NA,NA,NA
PE,Puna,ACC1239,2019,April,2019-04-10,TRE,C,1,Gramminoid,Poaceae,Calamagrostis cf. amoena,Calamagrostis,cf. amoena,4,34,1,NA,0.186,0.258,0.418,0.506,0.07,1,4.0873,0.186,0.07,4.0873,58.38999999999999,0.37634408602150543,0.394,NA,NA,NA
PE,Puna,ACI5990,2019,April,2019-04-10,ACJ,C,3,Forb,Asteraceae,Senecio rhizomathus,Senecio,rhizomathus,1,15,1,NA,0.487,0.285,0.279,0.256,0.086,1,11.8688,0.487,0.086,11.8688,138.00930232558142,0.17659137577002051,0.2733333333333333,NA,NA,NA
