country,project,id,year,month,date,site,treatment,plot_id,functional_group,family,name_2020,genus,species,individual_nr,plant_height_cm,nr_leaves,bulk,wet_mass_total_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,dry_mass_total_g,number_leaves_scan,leaf_area_total_cm2,wet_mass_g,dry_mass_g,leaf_area_cm2,sla_cm2_g,ldmc,leaf_thickness_ave_mm,area_flag,dry_flag,wet_flag
PE,PFTC5,AAH3401,2020,March,2020-03-12,ACJ,C,1,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,1,6.5,NA,NA,0.029,0.22,0.23,NA,0.0084,1,1.219,NA,NA,NA,NA,NA,0.225,NA,NA,NA
PE,PFTC5,ATS6341,2020,March,2020-03-12,ACJ,C,4,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,3,18,1,NA,0.068,0.21,0.208,NA,0.0159,1,2.475,0.068,0.0159,2.475,155.66037735849056,0.2338235294117647,0.209,NA,NA,NA
PE,PFTC5,AVA2500,2020,March,2020-03-12,ACJ,C,5,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,1,7,5,NA,0.132,0.368,0.326,NA,0.0433,2,3.733,0.0264,0.00866,0.7466,86.21247113163973,0.328030303030303,0.347,NA,NA,NA
PE,PFTC5,ABG6775,2020,March,2020-03-12,ACJ,C,3,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,3,9.6,2,NA,0.032,0.193,0.211,0.225,0.0076,1,1.167,0.016,0.0038,0.5835,153.55263157894737,0.2375,0.20966666666666667,NA,NA,NA
PE,PFTC5,ACE7565,2020,March,2020-03-12,ACJ,C,3,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,3,9.6,1,NA,0.052,0.253,0.268,NA,0.0137,1,1.592,0.052,0.0137,1.592,116.2043795620438,0.26346153846153847,0.2605,NA,NA,NA
PE,PFTC5,ADP7756,2020,March,2020-03-12,ACJ,C,1,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,2,11.8,1,NA,0.088,0.232,0.264,0.262,0.0235,1,2.716,0.088,0.0235,2.716,115.57446808510639,0.2670454545454546,0.2526666666666667,NA,NA,NA
PE,PFTC5,ABK6774,2020,March,2020-03-12,ACJ,C,1,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,2,10.8,4,NA,0.075,0.267,0.267,NA,0.0198,1,2.461,0.01875,0.00495,0.61525,124.29292929292927,0.264,0.267,NA,NA,NA
PE,PFTC5,AVM7408,2020,March,2020-03-12,ACJ,C,5,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,1,7.3,1,NA,0.062,0.205,0.224,0.242,0.0156,1,2.212,0.062,0.0156,2.212,141.79487179487182,0.25161290322580643,0.22366666666666665,NA,NA,NA
PE,PFTC5,AVO3151,2020,March,2020-03-12,ACJ,C,5,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,1,7.3,3,NA,0.061,0.222,0.237,0.242,0.0154,2,2.24,0.020333333333333332,0.0051333333333333335,0.7466666666666667,145.45454545454547,0.25245901639344265,0.23366666666666666,NA,NA,NA
PE,PFTC5,ABI2402,2020,March,2020-03-12,ACJ,C,3,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,3,9.6,5,NA,0.034,0.202,0.212,0.221,0.015,1,0.978,0.0068000000000000005,0.003,0.1956,65.2,0.4411764705882353,0.21166666666666667,NA,NA,NA
