country,project,id,year,month,date,site,treatment,plot_id,functional_group,family,name_2020,genus,species,individual_nr,plant_height_cm,nr_leaves,bulk,wet_mass_total_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,dry_mass_total_g,number_leaves_scan,leaf_area_total_cm2,wet_mass_g,dry_mass_g,leaf_area_cm2,sla_cm2_g,ldmc,leaf_thickness_ave_mm,area_flag,dry_flag,wet_flag
PE,PFTC3,AAA4667,2018,March,2018-03-17,QUE,B,4,Forb,Asteraceae,Werneria villosa,Werneria,villosa,3,5,4,bulk,0.043,0.217,0.165,0.265,0.019,6,1.013,0.01075,0.00475,0.25325,53.31578947,0.441860465,0.215666667,NA,NA,NA
PE,PFTC3,AAC0068,2018,March,NA,QUE,B,4,Forb,Rosaceae,Lachemilla cf vulcanica,Lachemilla,cf vulcanica,2,1,10,bulk,0.0668,0.0158,0.015,0.0152,0.033,13,3.431,0.00668,0.0033,0.3431,103.969697,0.494011976,0.015333333,NA,NA,NA
PE,PFTC3,AAH1610,2018,March,NA,QUE,B,4,Woody,Asteraceae,Baccharis caespitosa,Baccharis,caespitosa,1,2,1,bulk,0.026,0.248,0.237,0.235,0.018,19,1.568,NA,NA,NA,NA,NA,0.24,NA,NA,NA
PE,PFTC3,AAI1053,2018,March,NA,QUE,B,4,Forb,Asteraceae,Oreithales integrifolia,Oreithales,integrifolia,2,1,1,NA,0.113,0.372,0.422,0.363,0.033,1,1.62,0.113,0.033,1.62,49.09090909,0.292035398,0.385666667,NA,NA,NA
PE,PFTC3,AAJ1086,2018,March,NA,QUE,B,4,Forb,Asteraceae,Oreithales integrifolia,Oreithales,integrifolia,1,2,1,NA,0.103,0.03,0.026,0.02,0.043,1,3.038,0.103,0.043,3.038,70.65116279,0.417475728,0.025333333,NA,NA,NA
PE,PFTC3,AAK3619,2018,March,NA,ACJ,C,2,Fern,Pteridaceae,Eriosorus cheilanthoides,Eriosorus,cheilanthoides,1,42,1,NA,1.238,0.596,0.971,0.627,0.328,2,15.2,1.238,NA,15.2,NA,NA,0.731333333,NA,NA,NA
PE,PFTC3,AAL3102,2018,March,NA,QUE,B,4,Forb,Asteraceae,Oreithales integrifolia,Oreithales,integrifolia,3,2,1,NA,0.148,0.363,0.332,0.407,0.043,2,2.785,0.148,0.043,2.785,64.76744186,0.290540541,0.367333333,NA,NA,NA
PE,PFTC3,AAM2067,2018,March,NA,QUE,B,4,Forb,Asteraceae,Oreithales integrifolia,Oreithales,integrifolia,4,1,1,NA,0.151,0.371,0.407,0.347,0.041,1,2.651,0.151,0.041,2.651,64.65853659,0.271523179,0.375,NA,NA,NA
PE,PFTC3,AAO3520,2018,March,2018-03-18,ACJ,C,2,Woody,Ericaceae,Vaccinium floribundum,Vaccinium,floribundum,1,44,10,bulk,0.206,0.432,0.404,0.442,0.101,NA,NA,NA,NA,NA,NA,NA,0.426,NA,NA,NA
PE,PFTC3,AAP8741,2018,March,2018-03-18,ACJ,C,2,Fern,Polypodiaceae,Melpomene moniliformis,Melpomene,moniliformis,2,24,1,NA,0.577,0.298,0.318,0.304,0.216,2,13.382,0.577,NA,13.382,NA,NA,0.306666667,NA,NA,NA
PE,PFTC3,AAQ2602,2018,March,2018-03-18,ACJ,C,2,Fern,Polypodiaceae,Melpomene moniliformis,Melpomene,moniliformis,3,16,1,NA,0.192,0.401,0.384,0.347,0.086,NA,NA,NA,NA,NA,NA,NA,0.377333333,NA,NA,NA
PE,PFTC3,AAR7417,2018,March,2018-03-18,ACJ,C,2,Fern,Polypodiaceae,Melpomene moniliformis,Melpomene,moniliformis,1,13,1,NA,0.258,0.289,0.24,0.314,0.101,2,7.26,0.258,NA,7.26,NA,NA,0.281,NA,NA,NA
PE,PFTC3,AAS6673,2018,March,NA,QUE,B,4,Woody,Asteraceae,Baccharis caespitosa,Baccharis,caespitosa,3,2,1,bulk,0.036,0.176,0.168,0.213,0.023,22,1.667,NA,NA,NA,NA,NA,0.185666667,NA,NA,NA
PE,PFTC3,AAT3650,2018,March,NA,QUE,B,4,Woody,Asteraceae,Baccharis caespitosa,Baccharis,caespitosa,2,2,1,bulk,0.033,0.372,0.322,0.276,0.017,20,1.07,NA,NA,NA,NA,NA,0.323333333,NA,NA,NA
PE,PFTC3,AAY4691,2018,March,2018-03-18,ACJ,C,2,Woody,Ericaceae,Vaccinium floribundum,Vaccinium,floribundum,3,23,1,NA,0.14,0.475,0.464,0.487,0.087,NA,NA,NA,NA,NA,NA,NA,0.475333333,NA,NA,NA
PE,PFTC3,ABA0236,2018,March,2018-03-18,ACJ,C,2,Woody,Ericaceae,Vaccinium floribundum,Vaccinium,floribundum,2,27,10,bulk,0.295,0.572,0.483,0.541,0.0145,NA,NA,NA,NA,NA,NA,NA,0.532,NA,NA,NA
PE,PFTC3,ABJ1726,2018,March,2018-03-17,QUE,B,4,Forb,Rosaceae,Lachemilla cf vulcanica,Lachemilla,cf vulcanica,1,1,10,bulk,0.063,0.203,0.148,0.156,0.032,17,2.885,0.0063,0.0032,0.2885,90.15625,0.507936508,0.169,NA,NA,NA
PE,PFTC3,ABK3931,2018,March,2018-03-17,QUE,B,2,Forb,Asteraceae,Perezia pungens,Perezia,pungens,5,11,1,NA,0.098,0.286,0.308,0.306,0.031,3,3.025,0.098,0.031,3.025,97.58064516,0.316326531,0.3,NA,NA,NA
PE,PFTC3,ABL1894,2018,March,NA,QUE,B,2,Forb,Violaceae,Viola pygmaea,Viola,pygmaea,5,6,5,bulk,0.118,0.219,0.202,0.227,0.025,8,3.093,0.0236,0.005,0.6186,123.72,0.211864407,0.216,NA,NA,NA
PE,PFTC3,ABU0409,2018,March,NA,QUE,B,2,Forb,Asteraceae,Aphanactis villosa,Aphanactis,villosa,3,4,2,bulk,0.032,0.209,0.21,0.219,0.012,2,1.799,0.016,0.006,0.8995,149.9166667,0.375,0.212666667,NA,NA,NA
PE,PFTC3,ACE5542,2018,March,NA,QUE,B,2,Woody,Asteraceae,Baccharis caespitosa,Baccharis,caespitosa,4,2,1,bulk,0.028,0.438,0.438,0.47,0.024,9,0.88,NA,NA,NA,NA,NA,0.448666667,NA,NA,NA
PE,PFTC3,ACF9086,2018,March,2018-03-17,QUE,B,2,Woody,Asteraceae,Baccharis caespitosa,Baccharis,caespitosa,3,1,1,bulk,0.018,0.314,0.336,0.354,0.017,12,0.691,NA,NA,NA,NA,NA,0.334666667,NA,NA,NA
PE,PFTC3,ACG1598,2018,March,2018-03-17,QUE,B,2,Woody,Asteraceae,Baccharis caespitosa,Baccharis,caespitosa,2,1,1,bulk,0.018,0.317,0.255,0.304,0.018,19,1.066,NA,NA,NA,NA,NA,0.292,NA,NA,NA
PE,PFTC3,ACH7127,2018,March,NA,QUE,B,2,Woody,Asteraceae,Baccharis caespitosa,Baccharis,caespitosa,1,1,1,bulk,0.012,0.237,0.221,0.25,0.017,10,0.51,NA,NA,NA,NA,NA,0.236,NA,NA,NA
PE,PFTC3,ACL5822,2018,March,2018-03-17,QUE,B,2,Forb,Asteraceae,Perezia pungens,Perezia,pungens,3,NA,1,NA,0.256,0.322,0.353,0.333,0.081,2,5.797,0.256,0.081,5.797,71.56790123,0.31640625,0.336,NA,NA,NA
PE,PFTC3,ACM1399,2018,March,2018-03-17,QUE,B,2,Forb,Asteraceae,Perezia pungens,Perezia,pungens,2,7,1,NA,0.259,0.365,0.395,0.379,0.077,2,6.132,0.259,0.077,6.132,79.63636364,0.297297297,0.379666667,NA,NA,NA
PE,PFTC3,ACN4519,2018,March,2018-03-17,QUE,B,2,Forb,Asteraceae,Perezia pungens,Perezia,pungens,1,12,5,bulk,0.1,0.299,0.269,0.232,0.033,5,3.75,0.02,0.0066,0.75,113.6363636,0.33,0.266666667,NA,NA,NA
PE,PFTC3,ACO8380,2018,March,2018-03-17,QUE,B,2,Forb,Asteraceae,Perezia pungens,Perezia,pungens,4,5,1,NA,0.037,0.0164,0.0159,0.024,0.016,2,1.332,0.037,0.016,1.332,83.25,0.432432432,0.018766667,NA,NA,NA
PE,PFTC3,ACP3418,2018,March,NA,QUE,B,2,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,1,8,1,NA,0.149,0.441,0.399,0.427,0.081,2,3.482,0.149,0.081,3.482,42.98765432,0.543624161,0.422333333,NA,NA,NA
PE,PFTC3,ACQ1475,2018,March,NA,QUE,B,2,Woody,Asteraceae,Baccharis caespitosa,Baccharis,caespitosa,5,1,1,bulk,0.02,0.138,0.187,0.128,0.018,11,0.69,NA,NA,NA,NA,NA,0.151,NA,NA,NA
PE,PFTC3,ACS5936,2018,March,2018-03-17,QUE,B,2,Forb,Asteraceae,Aphanactis villosa,Aphanactis,villosa,2,4,2,bulk,0.035,0.183,0.107,0.168,0.023,2,2.142,0.0175,0.0115,1.071,93.13043478,0.657142857,0.152666667,NA,NA,NA
PE,PFTC3,ACT4695,2018,March,2018-03-17,QUE,B,2,Forb,Asteraceae,Aphanactis villosa,Aphanactis,villosa,1,4,2,bulk,0.013,0.218,0.245,0.192,0.016,2,0.844,0.0065,0.008,0.422,52.75,1.230769231,0.218333333,NA,Dry_larger_Wet _,NA
PE,PFTC3,ACU6069,2018,March,2018-03-17,QUE,B,2,Forb,Violaceae,Viola pygmaea,Viola,pygmaea,4,3,5,bulk,0.113,0.46,0.317,0.23,0.033,6,2.37,0.0226,0.0066,0.474,71.81818182,0.292035398,0.335666667,NA,NA,NA
PE,PFTC3,ACV5843,2018,March,2018-03-17,QUE,B,2,Forb,Violaceae,Viola pygmaea,Viola,pygmaea,3,3,5,bulk,0.094,0.491,0.461,0.452,0.027,6,1.751,0.0188,0.0054,0.3502,64.85185185,0.287234043,0.468,NA,NA,NA
PE,PFTC3,ACW8338,2018,March,2018-03-17,QUE,B,2,Forb,Violaceae,Viola pygmaea,Viola,pygmaea,2,4,5,bulk,0.07,0.393,0.332,0.41,0.028,5,1.752,0.014,0.0056,0.3504,62.57142857,0.4,0.378333333,NA,NA,NA
PE,PFTC3,ACX5615,2018,March,2018-03-17,QUE,B,2,Forb,Violaceae,Viola pygmaea,Viola,pygmaea,1,7,5,bulk,0.063,0.015,0.015,0.0145,0.025,5,1.628,0.0126,0.005,0.3256,65.12,0.396825397,0.014833333,NA,NA,NA
PE,PFTC3,ACZ6825,2018,March,NA,QUE,B,2,Forb,Gentianaceae,Gentiana sedifolia,Gentiana,sedifolia,2,4,20,bulk,0.041,0.149,0.188,0.133,0.028,20,0.896,0.00205,0.0014,0.0448,32,0.682926829,0.156666667,NA,NA,NA
PE,PFTC3,ADD2466,2018,March,2018-03-18,WAY,B,3,Gramminoid,Poaceae,Calamagrostis cf. amoena,Calamagrostis,cf. amoena,5,62,1,NA,0.225,0.388,0.395,0.383,0.129,5,5.436,0.225,0.129,5.436,42.13953488,0.573333333,0.388666667,NA,NA,NA
PE,PFTC3,ADG3243,2018,March,2018-03-17,WAY,B,3,Gramminoid,Poaceae,Calamagrostis tarmensis,Calamagrostis,tarmensis,2,52,1,NA,0.137,0.366,0.365,0.357,0.074,1,3.69,0.137,0.074,3.69,49.86486486,0.540145985,0.362666667,NA,NA,NA
PE,PFTC3,ADI2438,2018,March,2018-03-17,WAY,B,3,Gramminoid,Poaceae,Calamagrostis tarmensis,Calamagrostis,tarmensis,1,80,1,NA,0.27,0.254,0.288,0.342,0.132,5,4.703,0.27,0.132,4.703,35.62878788,0.488888889,0.294666667,NA,NA,NA
PE,PFTC3,ADK4294,2018,March,2018-03-17,QUE,B,2,Forb,Gentianaceae,Gentiana sedifolia,Gentiana,sedifolia,4,NA,20,bulk,0.05,0.247,0.298,0.215,0.017,21,1.386,0.0025,8.5e-4,0.0693,81.52941176,0.34,0.253333333,NA,NA,NA
PE,PFTC3,ADL2506,2018,March,2018-03-17,QUE,B,2,Forb,Gentianaceae,Gentiana sedifolia,Gentiana,sedifolia,3,5,20,bulk,0.027,0.219,0.222,0.241,0.022,20,1.109,0.00135,0.0011,0.05545,50.40909091,0.814814815,0.227333333,NA,NA,NA
PE,PFTC3,ADN1031,2018,March,2018-03-17,QUE,B,2,Forb,Gentianaceae,Gentiana sedifolia,Gentiana,sedifolia,1,2,20,bulk,0.023,0.219,0.228,0.16,0.021,19,0.85,0.00115,0.00105,0.0425,40.47619048,0.913043478,0.202333333,NA,NA,NA
PE,PFTC3,ADP5320,2018,March,2018-03-17,QUE,B,2,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,3,8,1,NA,0.175,0.571,0.617,0.603,0.051,2,7.402,0.175,0.051,7.402,145.1372549,0.291428571,0.597,NA,NA,NA
PE,PFTC3,ADR3938,2018,March,2018-03-17,QUE,B,2,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,2,6,1,NA,0.299,0.526,0.588,0.592,0.107,1,6.813,0.299,0.107,6.813,63.6728972,0.357859532,0.568666667,NA,NA,NA
PE,PFTC3,ADU4173,2018,March,NA,WAY,B,3,Gramminoid,Cyperaceae,Rhynchospora aristata,Rhynchospora,aristata,3,78,1,NA,0.09,0.191,0.205,0.214,0.514,5,40.908,0.09,0.514,40.908,79.58754864,5.711111111,0.203333333,NA,Dry_larger_Wet _,NA
PE,PFTC3,ADY4723,2018,March,2018-03-17,WAY,B,3,Gramminoid,Cyperaceae,Rhynchospora aristata,Rhynchospora,aristata,4,43,1,NA,0.438,0.277,0.332,0.309,0.213,2,19.459,0.438,0.213,19.459,91.35680751,0.48630137,0.306,NA,NA,NA
PE,PFTC3,AEB7555,2018,March,2018-03-17,QUE,B,2,Gramminoid,Poaceae,Agrostis trichodes,Agrostis,trichodes,3,6,5,bulk,0.018,0.166,0.172,0.156,0.008,10,1.754,0.0036,0.0016,0.3508,219.25,0.444444444,0.164666667,NA,NA,NA
PE,PFTC3,AEC2261,2018,March,2018-03-17,QUE,B,2,Gramminoid,Poaceae,Agrostis trichodes,Agrostis,trichodes,4,7,10,bulk,0.043,0.271,0.278,0.284,0.015,13,2.238,0.0043,0.0015,0.2238,149.2,0.348837209,0.277666667,NA,NA,NA
PE,PFTC3,AEF0459,2018,March,2018-03-18,WAY,B,3,Gramminoid,Poaceae,Festuca dolichophylla,Festuca,dolichophylla,5,103,1,NA,0.682,0.472,0.392,0.417,0.324,6,19.589,0.682,0.324,19.589,60.45987654,0.475073314,0.427,NA,NA,NA
PE,PFTC3,AEI6230,2018,March,2018-03-18,WAY,B,3,Gramminoid,Cyperaceae,Rhynchospora aristata,Rhynchospora,aristata,1,38,1,NA,0.227,0.22,0.235,0.216,0.094,1,11.178,0.227,0.094,11.178,118.9148936,0.414096916,0.223666667,NA,NA,NA
PE,PFTC3,AEM2494,2018,March,2018-03-17,QUE,B,2,Gramminoid,Poaceae,Agrostis trichodes,Agrostis,trichodes,2,4,7,bulk,0.014,0.13,0.161,0.131,0.006,7,0.681,0.002,8.57e-4,0.097285714,113.5,0.428571429,0.140666667,NA,NA,NA
