ID,LeafArea
AQD3230.jpeg.txt.Area,2.126
AQE5913.jpeg.txt.Area,2.173
AQF9992.jpeg.txt.Area1,0.006
AQF9992.jpeg.txt.Area2,1.725
AQG1962.jpeg.txt.Area,8.78
AQH2804.jpeg.txt.Area,2.368
AQI6603.jpeg.txt.Area,2.438
AQJ2521.jpeg.txt.Area,1.846
AQK5616.jpeg.txt.Area,2.368
AQL4649.jpeg.txt.Area1,0.01
AQL4649.jpeg.txt.Area2,1.267
AQM0288.jpeg.txt.Area,0.954
AQN9078.jpeg.txt.Area,11.698
AQO2917.jpeg.txt.Area,10.395
ATY7432.jpeg.txt.Area1,2.506
ATY7432.jpeg.txt.Area2,0.006
AXX2248.jpeg.txt.Area1,0.437
AXX2248.jpeg.txt.Area2,0.457
AXX2248.jpeg.txt.Area3,0.529
AXX2248.jpeg.txt.Area4,0.428
AXX2248.jpeg.txt.Area5,0.399
AXY1359.jpeg.txt.Area1,0.403
AXY1359.jpeg.txt.Area2,0.432
AXY1359.jpeg.txt.Area3,0.384
AXY1359.jpeg.txt.Area4,0.419
AXY1359.jpeg.txt.Area5,0.431
AXZ3575.jpeg.txt.Area1,0.444
AXZ3575.jpeg.txt.Area2,0.36
AXZ3575.jpeg.txt.Area3,0.46
AXZ3575.jpeg.txt.Area4,0.504
AXZ3575.jpeg.txt.Area5,0.442
AYA3362.jpeg.txt.Area1,0.376
AYA3362.jpeg.txt.Area2,0.327
AYA3362.jpeg.txt.Area3,0.306
AYA3362.jpeg.txt.Area4,0.341
AYA3362.jpeg.txt.Area5,0.337
AYB2119.jpeg.txt.Area1,0.321
AYB2119.jpeg.txt.Area2,0.422
AYB2119.jpeg.txt.Area3,0.439
AYB2119.jpeg.txt.Area4,0.357
AYB2119.jpeg.txt.Area5,0.299
AYC0583.jpeg.txt.Area1,0.315
AYC0583.jpeg.txt.Area2,0.326
AYC0583.jpeg.txt.Area3,0.401
AYC0583.jpeg.txt.Area4,0.463
AYC0583.jpeg.txt.Area5,0.329
AYC0583.jpeg.txt.Area6,0.005
AYE2081.jpeg.txt.Area1,0.312
AYE2081.jpeg.txt.Area2,0.38
AYE2081.jpeg.txt.Area3,0.454
AYE2081.jpeg.txt.Area4,0.277
AYE2081.jpeg.txt.Area5,0.314
AYE2081.jpeg.txt.Area6,0.006
AYF7496.jpeg.txt.Area1,3.127
AYF7496.jpeg.txt.Area2,0.006
AYG1241.jpeg.txt.Area1,3.404
AYG1241.jpeg.txt.Area2,0.006
AYH7143.jpeg.txt.Area,2.866
AYI4751.jpeg.txt.Area1,0.011
AYI4751.jpeg.txt.Area2,3.085
AYN2714.jpeg.txt.Area,1.97
BKN0250.jpeg.txt.Area1,0.398
BKN0250.jpeg.txt.Area2,0.53
BKN0250.jpeg.txt.Area3,0.418
BKN0250.jpeg.txt.Area4,0.457
BKN0250.jpeg.txt.Area5,0.414
BKP5877.jpeg.txt.Area1,2.432
BKP5877.jpeg.txt.Area2,0.01
BKP5877.jpeg.txt.Area3,0.008
BKR4638.jpeg.txt.Area1,0.376
BKR4638.jpeg.txt.Area2,1.11
BKR4638.jpeg.txt.Area3,0.542
BKR4638.jpeg.txt.Area4,0.518
BKR4638.jpeg.txt.Area5,0.006
BKS6261.jpeg.txt.Area1,0.615
BKS6261.jpeg.txt.Area2,0.605
BKS6261.jpeg.txt.Area3,0.654
BKS6261.jpeg.txt.Area4,0.503
BKS6261.jpeg.txt.Area5,0.452
BKS6261.jpeg.txt.Area6,0.006
BKT6119.jpeg.txt.Area1,0.202
BKT6119.jpeg.txt.Area2,0.447
BKT6119.jpeg.txt.Area3,0.435
BKT6119.jpeg.txt.Area4,0.314
BKT6119.jpeg.txt.Area5,0.18
BKT6119.jpeg.txt.Area6,0.007
BKW1860.jpeg.txt.Area1,0.182
BKW1860.jpeg.txt.Area2,0.442
BKW1860.jpeg.txt.Area3,0.303
