ID,LeafArea
AAA0656.jpeg.txt.Area,5.035
ACW6576.jpeg_mask.tif.txt.Area,4.143
ACW6576.jpeg.txt.Area,4.143
AAB6480.jpeg.txt.Area,3.048
AAC4646.jpeg.txt.Area,7.492
AAD6680.jpeg.txt.Area,7.598
AAE4190.jpeg.txt.Area1,0.014
AAE4190.jpeg.txt.Area2,3.376
AAF7186.jpeg.txt.Area,10.077
AAG6831.jpeg.txt.Area,6.317
AAH3401.jpeg.txt.Area,1.219
AAI8954.jpeg.txt.Area,2.338
AAJ1133.jpeg.txt.Area,2.493
AAK1305.jpeg.txt.Area,1.916
AAM1673.jpeg.txt.Area1,0.009
AAM1673.jpeg.txt.Area2,2.355
AAN5188.jpeg.txt.Area,1.727
AAO3522.jpeg.txt.Area,1.937
AAP4494.jpeg.txt.Area,1.079
AAQ9095.jpeg.txt.Area,1.286
AAR1903.jpeg.txt.Area,1.183
AAS2586.jpeg.txt.Area,0.986
AAU6819.jpeg.txt.Area,6.886
AAV4547.jpeg.txt.Area,5.438
AAW2094.jpeg.txt.Area1,0.013
AAW2094.jpeg.txt.Area2,6.749
AAX4219.jpeg.txt.Area,6.221
AAY3045.jpeg.txt.Area,5.788
AAZ5543.jpeg.txt.Area,2.516
ABA6252.jpeg.txt.Area,2.269
ABB6047.jpeg.txt.Area,1.822
ABC4816.jpeg.txt.Area,2.615
ABD7604.jpeg.txt.Area,2.274
ABE9156.jpeg.txt.Area,2.182
ABF2214.jpeg.txt.Area,2.294
ABG6775.jpeg.txt.Area,1.167
ABH3333.jpeg.txt.Area,1.915
ABI2402.jpeg.txt.Area,0.978
ABJ6329.jpeg.txt.Area,2.796
ABK6774.jpeg.txt.Area,2.461
ABL1039.jpeg.txt.Area,2.107
ABM7299.jpeg.txt.Area,2.289
ABO2241.jpeg.txt.Area,1.859
ABP2684.jpeg.txt.Area,5.102
ABQ1404.jpeg.txt.Area,1.922
ABR6458.jpeg.txt.Area,4.226
ABS7148.jpeg.txt.Area,4.488
ABT4493.jpeg.txt.Area,5.95
ABU2058.jpeg.txt.Area1,3.384
ABU2058.jpeg.txt.Area2,0.006
ABV7405.jpeg.txt.Area,5.176
ABW0088.jpeg.txt.Area,1.09
ABY2122.jpeg.txt.Area,6.517
ACA8496.jpeg.txt.Area,2.642
ACB4434.jpeg.txt.Area1,0.025
ACB4434.jpeg.txt.Area2,0.989
ACC7360.jpeg.txt.Area,2.306
ACD5747.jpeg.txt.Area,2.47
ACE7565.jpeg.txt.Area,1.592
ACF7763.jpeg.txt.Area,2.073
ACG5039.jpeg.txt.Area,7.329
ACH3760.jpeg.txt.Area,2.501
ACI4396.jpeg.txt.Area1,0.013
ACI4396.jpeg.txt.Area2,7.566
ACJ5842.jpeg.txt.Area,1.993
ACK2064.jpeg.txt.Area,1.665
ACL0820.jpeg.txt.Area,1.715
ACM2087.jpeg.txt.Area,1.195
ACN0692.jpeg.txt.Area1,0.033
ACN0692.jpeg.txt.Area2,16.542
ACN0692.jpeg.txt.Area3,0.027
ACN0692.jpeg.txt.Area4,0.243
ACN0692.jpeg.txt.Area5,0.012
ACO2537.jpeg.txt.Area,9.147
ACP7341.jpeg.txt.Area,5.817
ACQ5275.jpeg.txt.Area,2.248
ACR1445.jpeg.txt.Area1,0.091
ACR1445.jpeg.txt.Area2,4.288
ACR1445.jpeg.txt.Area3,0.005
ACS7639.jpeg.txt.Area,5.16
ACT9517.jpeg.txt.Area,7.082
ACU2880.jpeg.txt.Area,1.878
ACV7342.jpeg.txt.Area1,0.007
ACV7342.jpeg.txt.Area2,0.013
ACV7342.jpeg.txt.Area3,6.15
ACV7342.jpeg.txt.Area4,0.006
ACW6576.jpeg.txt.Area,4.143
ACX1351.jpeg.txt.Area1,0.041
ACX1351.jpeg.txt.Area2,0.006
ACX1351.jpeg.txt.Area3,0.006
ACX1351.jpeg.txt.Area4,4.174
ACX1351.jpeg.txt.Area5,0.008
ACY7408.jpeg.txt.Area,3.602
ACZ6300.jpeg.txt.Area1,0.006
ACZ6300.jpeg.txt.Area2,6.318
ACZ6300.jpeg.txt.Area3,0.009
ADA0944.jpeg.txt.Area1,0.013
ADA0944.jpeg.txt.Area2,0.006
ADA0944.jpeg.txt.Area3,0.02
ADA0944.jpeg.txt.Area4,0.007
ADA0944.jpeg.txt.Area5,3.494
ADB5258.jpeg.txt.Area,5.269
ADC3290.jpeg.txt.Area,5.837
ADD1710.jpeg.txt.Area,1.914
ADE5822.jpeg.txt.Area,3.686
ADF3723.jpeg.txt.Area,1.455
ADG5889.jpeg.txt.Area,4.072
ADH8686.jpeg.txt.Area,5.298
ADI7562.jpeg.txt.Area1,4.037
ADI7562.jpeg.txt.Area2,0.014
ADJ9799.jpeg.txt.Area1,0.015
ADJ9799.jpeg.txt.Area2,2.506
ADK0442.jpeg.txt.Area1,0.013
ADK0442.jpeg.txt.Area2,2.819
ADL2925.jpeg.txt.Area1,0.03
ADL2925.jpeg.txt.Area2,0.006
ADL2925.jpeg.txt.Area3,0.009
ADL2925.jpeg.txt.Area4,0.018
ADL2925.jpeg.txt.Area5,2.767
ADM3986.jpeg.txt.Area1,0.024
ADM3986.jpeg.txt.Area2,2.927
ADN2106.jpeg.txt.Area,3.637
ADO6855.jpeg.txt.Area,5.837
ADP7756.jpeg.txt.Area,2.716
ADQ6888.jpeg.txt.Area,7.166
