ID,LeafArea
ABN3450.jpeg.txt.Area1,0.723
ABN3450.jpeg.txt.Area2,0.53
ABN3450.jpeg.txt.Area3,0.634
ABN3450.jpeg.txt.Area4,0.479
ABN3450.jpeg.txt.Area5,0.381
AFB7921.jpeg.txt.Area1,0.014
AFB7921.jpeg.txt.Area2,1.584
AFC7174.jpeg.txt.Area1,0.135
AFC7174.jpeg.txt.Area2,1.436
AFC7174.jpeg.txt.Area3,0.105
AFC7174.jpeg.txt.Area4,0.291
AFC7174.jpeg.txt.Area5,0.237
AFC7174.jpeg.txt.Area6,0.286
AFC7174.jpeg.txt.Area7,0.274
AFC7174.jpeg.txt.Area8,0.332
AFC7174.jpeg.txt.Area9,0.183
AFC7174.jpeg.txt.Area10,0.212
AFC7174.jpeg.txt.Area11,0.165
AFE3166.jpeg.txt.Area1,1.203
AFE3166.jpeg.txt.Area2,1.13
AFE3166.jpeg.txt.Area3,0.95
AFE3166.jpeg.txt.Area4,0.009
AFE3166.jpeg.txt.Area5,0.973
AFE3166.jpeg.txt.Area6,1.111
AFE3166.jpeg.txt.Area7,0.006
AFF2116.jpeg.txt.Area1,0.008
AFF2116.jpeg.txt.Area2,0.01
AFF2116.jpeg.txt.Area3,0.006
AFF2116.jpeg.txt.Area4,0.007
AFF2116.jpeg.txt.Area5,0.418
AFF2116.jpeg.txt.Area6,0.385
AFF2116.jpeg.txt.Area7,0.466
AFF2116.jpeg.txt.Area8,0.005
AFF2116.jpeg.txt.Area9,0.006
AFG3654.jpeg.txt.Area1,0.508
AFG3654.jpeg.txt.Area2,0.74
AFG3654.jpeg.txt.Area3,0.953
AFG3654.jpeg.txt.Area4,0.032
AFG3654.jpeg.txt.Area5,0.634
AFG3654.jpeg.txt.Area6,0.036
AFG3654.jpeg.txt.Area7,0.776
AFH6927.jpeg.txt.Area1,0.472
AFH6927.jpeg.txt.Area2,0.405
AFH6927.jpeg.txt.Area3,0.472
AFH6927.jpeg.txt.Area4,0.523
AFH6927.jpeg.txt.Area5,0.587
AFI2380.jpeg.txt.Area1,0.785
AFI2380.jpeg.txt.Area2,0.007
AFI2380.jpeg.txt.Area3,0.73
AFI2380.jpeg.txt.Area4,0.721
AFJ6348.jpeg.txt.Area,24.461
AFK6078.jpeg.txt.Area1,0.847
