site,month,treatment,plot_id,functional_group,family,taxon,name_2020,note_taxonomy
WAY,April,B,4,Forb,Asteraceae,Senecio Pegajoso,Senecio burkartii,NA
WAY,April,B,4,Forb,Asteraceae,Stevia Sp,Stevia pennellii,NA
WAY,April,B,4,Gramminoid,Poaceae,Stipa,Calamagrostis rigida,NA
WAY,April,B,5,Gramminoid,Poaceae,Agrostis Sp2,Agrostis mertensii,NA
WAY,April,B,5,Forb,Alstroemeriaceae,Bomarea Sp,Bomarea brevis,NA
WAY,April,B,5,Gramminoid,Poaceae,Calamagrostis Beauty Hairy,Danthonia secundiflora,NA
WAY,April,B,5,Gramminoid,Cyperaceae,Carex Boliviensis,Carex boliviensis,NA
WAY,April,B,5,Fern,Pteridaceae,Eriosorus Cheilanthoides,Eriosorus cheilanthoides,NA
WAY,April,B,5,Gramminoid,Poaceae,Festuca Blue,Festuca dolichophylla,NA
WAY,April,B,5,Forb,Asteraceae,Gnaphalium Dombeyanum,Gnaphalium dombeyanum,NA
WAY,April,B,5,Forb,Asteraceae,Hieracium Sp1,Hieracium cf. mandonii,NA
WAY,April,B,5,Forb,Asteraceae,Hypochaeris Taraxacoides,Hypochaeris taraxacoides,NA
WAY,April,B,5,Fern,Lycopodiaceae,Lycopodiella Cernua,Lycopodium thyoides,NA
WAY,April,B,5,Fern,Lycopodiaceae,Lycopodium Clavatum,Lycopodium clavatum,NA
WAY,April,B,5,Gramminoid,Poaceae,Not Stipa,Calamagrostis tarmensis,NA
WAY,April,B,5,Gramminoid,Poaceae,Paspalum Bonplandianum,Paspalum bonplandianum,NA
WAY,April,B,5,Forb,Orchidaceae,Pterichis Sp1,Pterichis sp1,NA
WAY,April,B,5,Gramminoid,Cyperaceae,Rhynchospora Brillante,Rhynchospora aristata,NA
WAY,April,B,5,Forb,Asteraceae,Senecio Pegajoso,Senecio burkartii,NA
WAY,April,B,5,Forb,Iridaceae,Sisyrinchium Vaginatum,Sisyrinchium vaginatum,NA
WAY,April,B,5,Forb,Asteraceae,Stevia Small,Stevia pennellii,NA
WAY,April,B,5,Woody,Ericaceae,Vaccinium Floribundum,Vaccinium floribundum,NA
WAY,April,C,1,Forb,Asteraceae,Achyrocline Ramosissima,Achyrocline ramosissima,NA
WAY,April,C,1,Gramminoid,Poaceae,Agrostis Sp2,Agrostis mertensii,NA
WAY,April,C,1,Forb,Rosaceae,Alchemilla Orbiculata,Lachemilla orbiculata,NA
WAY,April,C,1,Woody,Asteraceae,Baccharis Genistelloides,Baccharis genistelloides,NA
WAY,April,C,1,Gramminoid,Poaceae,Calamagrostis Beauty,Calamagrostis cf. amoena,NA
WAY,April,C,1,Gramminoid,Poaceae,Calamagrostis Beauty Hairy,Danthonia secundiflora,NA
WAY,April,C,1,Gramminoid,Cyperaceae,Carex Boliviensis,Carex boliviensis,NA
WAY,April,C,1,Gramminoid,Cyperaceae,Carex Pedunculado Largo,Carex cf. crinalis,NA
WAY,April,C,1,Gramminoid,Poaceae,Festuca Blue,Festuca dolichophylla,NA
WAY,April,C,1,Forb,Asteraceae,Gnaphalium Dombeyanum,Gnaphalium dombeyanum,NA
WAY,April,C,1,Forb,Gentianaceae,Halenia Umbellata,Halenia umbellata,NA
WAY,April,C,1,Forb,Asteraceae,Hieracium Sp1,Hieracium cf. mandonii,NA
WAY,April,C,1,Forb,Asteraceae,Hypochaeris Taraxacoides,Hypochaeris taraxacoides,NA
WAY,April,C,1,Fern,Lycopodiaceae,Lycopodiella Cernua,Lycopodium thyoides,NA
WAY,April,C,1,Forb,Rubiaceae,Nertera Granadensis,Nertera granadensis,NA
WAY,April,C,1,Gramminoid,Poaceae,Paspalum Bonplandianum,Paspalum bonplandianum,NA
WAY,April,C,1,Forb,Asteraceae,Stevia Small,Stevia pennellii,NA
WAY,April,C,1,Forb,Asteraceae,Werneria Nubigena,Werneria nubigena,NA
WAY,April,C,2,Gramminoid,Poaceae,Agrostis Sp2,Agrostis mertensii,NA
WAY,April,C,2,Woody,Asteraceae,Baccharis Genistelloides,Baccharis genistelloides,NA
WAY,April,C,2,Gramminoid,Poaceae,Calamagrostis Beauty,Calamagrostis cf. amoena,NA
WAY,April,C,2,Gramminoid,Poaceae,Calamagrostis Beauty Hairy,Danthonia secundiflora,NA
WAY,April,C,2,Gramminoid,Cyperaceae,Carex Boliviensis,Carex boliviensis,NA
WAY,April,C,2,Gramminoid,Cyperaceae,Carex Pedunculado Largo,Carex cf. crinalis,NA
WAY,April,C,2,Fern,Pteridaceae,Eriosorus Cheilanthoides,Eriosorus cheilanthoides,NA
WAY,April,C,2,Gramminoid,Poaceae,Festuca Blue,Festuca dolichophylla,NA
WAY,April,C,2,Forb,Asteraceae,Gnaphalium Dombeyanum,Gnaphalium dombeyanum,NA
WAY,April,C,2,Forb,Gentianaceae,Halenia Umbellata,Halenia umbellata,NA
WAY,April,C,2,Fern,Lycopodiaceae,Lycopodium Clavatum,Lycopodium clavatum,NA
WAY,April,C,2,Forb,Rubiaceae,Nertera Granadensis,Nertera granadensis,NA
WAY,April,C,2,Gramminoid,Poaceae,Paspalum Bonplandianum,Paspalum bonplandianum,NA
WAY,April,C,2,Gramminoid,Cyperaceae,Rhynchospora Brillante,Rhynchospora aristata,NA
WAY,April,C,2,Forb,Asteraceae,Stevia Small,Stevia pennellii,NA
WAY,April,C,2,Forb,Asteraceae,Stevia Sp,Stevia pennellii,NA
WAY,April,C,3,Gramminoid,Poaceae,Agrostis Sp2,Agrostis mertensii,NA
WAY,April,C,3,Woody,Asteraceae,Baccharis Genistelloides,Baccharis genistelloides,NA
WAY,April,C,3,Gramminoid,Poaceae,Calamagrostis Beauty,Calamagrostis cf. amoena,NA
WAY,April,C,3,Gramminoid,Poaceae,Calamagrostis Beauty Hairy,Danthonia secundiflora,NA
WAY,April,C,3,Gramminoid,Cyperaceae,Carex Pedunculado Largo,Carex cf. crinalis,NA
WAY,April,C,3,Fern,Pteridaceae,Eriosorus Cheilanthoides,Eriosorus cheilanthoides,NA
WAY,April,C,3,Gramminoid,Poaceae,Festuca Blue,Festuca dolichophylla,NA
WAY,April,C,3,Woody,Ericaceae,Gaultheria Glomerata,Gaultheria glomerata,NA
WAY,April,C,3,Forb,Asteraceae,Gnaphalium Dombeyanum,Gnaphalium dombeyanum,NA
WAY,April,C,3,Forb,Gentianaceae,Halenia Umbellata,Halenia umbellata,NA
WAY,April,C,3,Fern,Lycopodiaceae,Lycopodiella Cernua,Lycopodium thyoides,NA
WAY,April,C,3,Fern,Lycopodiaceae,Lycopodium Clavatum,Lycopodium clavatum,NA
WAY,April,C,3,Gramminoid,Poaceae,Paspalum Bonplandianum,Paspalum bonplandianum,NA
WAY,April,C,3,Forb,Asteraceae,Senecio Pegajoso,Senecio burkartii,NA
