id,year,date,month,site,treatment,plot_id,taxon,plant_height_cm,individual_nr,nr_leaves,bulk,wet_mass_total_g,dry_mass_total_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,leaf_area_total_cm2,number_leaves_scan
ABD5973,2019,2019-04-11T00:00:00Z,April,TRE,C,1,Pterichis sp1,6,1,1,"NA",0.166,0.02,0.49,0.495,0.495,3.4794,1
ABE8459,2019,2019-04-11T00:00:00Z,April,TRE,C,1,Pterichis sp1,5,2,1,"NA",0.162,0.024,0.414,0.433,0.451,3.848,1
ABF0520,2019,2019-04-11T00:00:00Z,April,TRE,C,1,Pterichis sp1,5,3,1,"NA",0.166,0.027,0.348,0.366,0.384,3.8583,1
ABG8659,2019,2019-04-10T00:00:00Z,April,TRE,C,1,Pterichis sp1,10,4,2,"NA",0.202,0.016,0.289,0.291,0.28,4.611,2
ABH3267,2019,2019-04-10T00:00:00Z,April,ACJ,C,5,Vaccinium floribundum,30,1,6,"NA",0.184,0.081,0.513,0.569,0.469,4.4669,6
ABM2693,2019,2019-04-10T00:00:00Z,April,WAY,C,4,Carex pedunculado largo,23,5,1,"NA",0.12,0.05,0.222,0.211,0.21,6.31,1
ABN7213,2019,2019-04-10T00:00:00Z,April,ACJ,C,3,Senecio rhizomatosus,8,4,1,"NA",0.268,0.045,0.335,0.339,0.269,7.7573,1
ABO4397,2019,2019-04-10T00:00:00Z,April,ACJ,C,3,Senecio rhizomatosus,16,5,1,"NA",0.111,0.017,0.27,0.267,0.279,3.5284,1
ABQ3728,2019,2019-04-10T00:00:00Z,April,ACJ,C,5,Luzula narrow,22,3,2,"NA",0.16,0.031,0.14,0.121,0.163,8.6893,2
ABR9697,2019,2019-04-10T00:00:00Z,April,ACJ,C,5,Luzula narrow,13,4,2,"NA",0.166,0.037,0.093,0.183,0.102,8.6772,2
ABS9288,2019,2019-04-10T00:00:00Z,April,ACJ,C,5,Luzula narrow,22,2,3,"NA",0.3,0.105,0.178,0.106,0.2,11.2939,2
ABT3839,2019,2019-04-10T00:00:00Z,April,ACJ,C,5,Luzula narrow,22,5,2,"NA",0.189,0.077,0.205,0.185,0.143,7.9146,2
ABV8366,2019,2019-04-10T00:00:00Z,April,ACJ,C,5,Luzula narrow,15,1,2,"NA",0.357,0.1,0.181,0.195,0.202,16.4302,2
ABX2142,2019,2019-04-10T00:00:00Z,April,ACJ,C,3,Senecio rhizomatosus,13,3,1,"NA",0.389,0.045,0.248,0.262,0.276,12.1469,1
ABY8371,2019,2019-04-10T00:00:00Z,April,TRE,C,1,Calamagrostis beauty,59,1,1,"NA",0.278,0.135,0.536,0.601,0.301,3.81,1
ABZ5093,2019,2019-04-10T00:00:00Z,April,TRE,C,1,Calamagrostis beauty,42,2,1,"NA",0.237,0.095,0.502,0.489,0.305,3.0122,1
ACA7678,2019,2019-04-10T00:00:00Z,April,TRE,C,1,Calamagrostis beauty,32,5,1,"NA",0.151,0.07,0.444,0.481,0.494,2.6183,1
ACB4290,2019,2019-04-10T00:00:00Z,April,TRE,C,1,Calamagrostis beauty,31,3,1,"NA",0.064,0.028,0.342,0.335,0.295,1.8348,1
ACC1239,2019,2019-04-10T00:00:00Z,April,TRE,C,1,Calamagrostis beauty,34,4,1,"NA",0.186,0.07,0.258,0.418,0.506,4.0873,1
ACI5990,2019,2019-04-10T00:00:00Z,April,ACJ,C,3,Senecio rhizomatosus,15,1,1,"NA",0.487,0.086,0.285,0.279,0.256,11.8688,1
ACJ5143,2019,2019-04-10T00:00:00Z,April,ACJ,C,3,Senecio rhizomatosus,16,2,1,"NA",0.665,0.103,0.293,0.265,0.294,18.0565,1
ADA3602,2019,2019-04-10T00:00:00Z,April,ACJ,C,5,Gaultheria glomerata,22,2,1,"NA",0.302,0.143,0.481,0.463,0.456,7.1331,1
ADB6808,2019,2019-04-10T00:00:00Z,April,ACJ,C,5,Gaultheria glomerata,3,1,2,"NA",2.24,0.093,0.461,0.492,0.47,5.5495,2
ADC7605,2019,2019-04-10T00:00:00Z,April,TRE,C,1,Vaccinium floribundum,28,2,6,"NA",0.071,0.027,0.32,0.33,0.327,2.7623,6
ADE6998,2019,2019-04-10T00:00:00Z,April,TRE,C,1,Vaccinium floribundum,16,3,8,"NA",0.095,0.053,0.336,0.373,0.383,3.3575,8
ADH3546,2019,2019-04-10T00:00:00Z,April,TRE,C,1,Vaccinium floribundum,23,1,8,"NA",0.115,0.06,0.507,0.534,0.484,3.0631,8
ADJ2129,2019,2019-04-10T00:00:00Z,April,TRE,C,5,Gaultheria glomerata,4,3,3,"NA",0.298,0.131,0.418,0.444,0.45,7.7216,3
ADO1230,2019,2019-04-10T00:00:00Z,April,TRE,C,1,Gentiana sedifolia,11,2,NA,Bulk,0.012,0.007,0.161,0.096,0.152,0.7488,10
ADQ3617,2019,2019-04-10T00:00:00Z,April,TRE,C,1,Gentiana sedifolia,12,3,NA,Bulk,0.037,0.022,0.167,0.178,0.187,2.0226,22
ADS7959,2019,2019-04-10T00:00:00Z,April,TRE,C,1,Gentiana sedifolia,9,4,NA,Bulk,0.01,0,0.146,0.101,0.127,0.5531,10
ADV0573,2019,2019-04-10T00:00:00Z,April,ACJ,C,1,Cyrtochilum mystacinum,16,1,1,"NA",0.512,0.072,0.431,0.405,0.421,12.6542,1
ADW1442,2019,2019-04-10T00:00:00Z,April,ACJ,C,1,Cyrtochilum mystacinum,22,3,1,"NA",1.662,0.217,0.658,0.603,0.619,28.4864,1
ADZ7346,2019,2019-04-10T00:00:00Z,April,ACJ,C,1,Cyrtochilum mystacinum,28,2,1,"NA",3.418,0.422,0.184,0.226,0.264,52.6006,1
AED8353,2019,2019-04-10T00:00:00Z,April,TRE,C,2,Paspalum bonplandianum,13,5,2,"NA",0.147,0.032,0.093,0.107,0.09,10.2764,2
AEE6142,2019,2019-04-10T00:00:00Z,April,TRE,C,1,Vaccinium floribundum,32,4,8,"NA",0.115,0.068,0.373,0.371,0.418,3.9293,8
AEG7050,2019,2019-04-10T00:00:00Z,April,TRE,C,1,Vaccinium floribundum,12,5,8,"NA",0.122,0.058,0.36,0.413,0.477,3.3051,8
AEJ7535,2019,2019-04-10T00:00:00Z,April,TRE,C,2,Paspalum bonplandianum,7,2,2,"NA",0.115,0.037,0.077,0.085,0.079,6.2753,2
AEL0229,2019,2019-04-10T00:00:00Z,April,TRE,C,2,Paspalum bonplandianum,13,3,2,"NA",0.193,0.051,0.093,0.083,0.075,11.2446,2
