id,dry_weight_g,observations
BHB3462,0.0535,NA
BGX6274,0.0898,NA
BGT4117,0.0463,NA
BEF1022,0.1108,NA
BBE9957,0.0556,NA
BBP7296,0.0698,NA
BBL1905,0.0572,NA
BBH6627,0.0582,NA
BBO2032,0.0475,NA
BBD5742,0.0395,NA
AZX9133,0.0335,NA
AZY4527,0.037,NA
BAB2292,0.0339,NA
AZI3417,0.0426,NA
BIT3931,0.2324,NA
BFS6331,0.1533,NA
BIP2743,0.0598,NA
BKM1599,0.1153,NA
BKQ1585,0.1487,NA
BBV3650,0.3617,NA
BDB3766,0.2248,NA
AFJ6348,0.5031,NA
BAV9519,0.1088,NA
BAR3619,0.0627,NA
BAQ2582,0.0706,NA
ACN0692,0.3588,NA
ACO2537,0.0873,NA
AEL6713,0.1232,NA
AUR9891,0.2078,NA
AZG0737,0.0168,NA
AZS4412,0.0169,NA
AZO1059,0.0103,NA
AZR3366,0.0151,NA
AZF5769,0.0263,NA
AZV3791,0.0255,NA
APF2990,0.0403,NA
APJ5344,0.0181,NA
AOV9184,0.0333,NA
AOZ3059,0.036,NA
APD0931,0.0329,NA
BDG8135,0.0134,NA
BDA5299,0.0121,NA
AIR7210,0.022,NA
AJE3805,0.0133,NA
AJF4574,0.0289,NA
BVY0038,0.0084,NA
BVU4152,0.0054,NA
BWI2838,0.0063,NA
AYJ0325,0.0304,NA
AYV2757,0.0285,NA
AXV7545,0.03056,NA
AXU3669,0.024,NA
BCQ2816,0.0347,NA
BEC5277,0.0098,NA
BEG7090,0.0119,NA
BFL1270,0.0136,NA
BFP8516,0.0075,NA
BDO3144,0.0111,NA
AHF0820,0.0074,NA
AZD2713,0.007,NA
AZC5871,0.0058,NA
AZB8052,0.006,NA
AZA4424,0.076,NA
BKK5041,0.0085,NA
AIS5021,0.072,NA
AIX0192,0.0041,NA
AFC7174,0.0278,NA
AFB7921,0.0199,NA
ATU6733,0.023,NA
AWF9650,0.0325,NA
ATA1063,0.0316,NA
CFZ8016,0.044,NA
AJA2506,0.042,NA
BKL0006,0.036,NA
AIW2607,0.0609,NA
BUY1975,0.0184,NA
BUQ3310,0.0202,NA
BUM0436,0.0168,NA
BUI3314,0.0252,NA
BUU3133,0.0304,NA
AKQ8501,0.0088,NA
AKU2768,0.0116,NA
ALB4469,0.0164,NA
BWL3363,0.0158,NA
BWH0617,0.0171,NA
BWD0928,0.0154,NA
BJF3603,0.0352,NA
BJI6374,0.0268,NA
BJJ5192,0.0255,NA
BJM4024,0.0199,NA
AJT2939,0.0102,NA
AJS0144,0.0048,NA
AJY0858,0.0076,NA
AJZ6728,0.0055,NA
AJX5756,0.0085,NA
AIU5769,0.0093,NA
AIO3417,0.01,NA
BUP0910,0.0951,NA
BUT0954,0.0662,NA
BUX0734,0.0678,NA
BVB6600,0.0183,NA
BVF1509,0.0189,NA
AXG1693,0.0389,NA
BUJ1931,0.0318,NA
BWF2319,0.0152,NA
BUN7653,0.0398,NA
BXC7384,0.0296,NA
BXY3980,0.0281,NA
BWU0902,0.0467,NA
BWQ1330,0.0259,NA
BWN3403,0.0262,NA
BEA0992,0.0206,NA
BDW0393,0.0202,NA
BDS6325,0.0269,NA
BDP2694,0.0343,NA
BDT7792,0.0118,NA
BCV1723,0.0084,NA
BDH2930,0.0157,NA
BDL4865,0.0075,NA
BJH6832,0.018,NA
BJL1279,0.0219,NA
BJP1274,0.0246,NA
AFE3166,0.047,NA
AUV5625,0.0387,NA
AVY2334,0.0246,NA
AVZ7947,0.0433,NA
AVX8703,0.039,NA
BVD4631,0.0059,NA
BVH0912,0.0084,NA
AYO6678,0.0168,NA
AWS4753,0.0391,NA
AWD5144,0.0326,NA
AWC5502,0.0184,NA
BAO4136,0.0161,NA
AZU4350,0.0168,NA
AZL7227,0.0286,NA
BGS2584,0.0112,NA
BGO2684,0.0114,NA
BGK5343,0.0148,NA
BDJ9438,0.0388,NA
BFE5770,0.035,NA
BFF2916,0.0379,NA
BGI6077,0.1581,NA
BIL4667,0.1323,NA
BGJ6213,0.1623,NA
BAF3647,0.2872,NA
BAE5311,0.2042,NA
BAA4393,0.1352,NA
BCS9988,0.1646,NA
BCK8014,0.1295,NA
BCO4071,0.1662,NA
BKU8933,0.1282,NA
BHI1101,0.2067,NA
BHM6297,0.2721,NA
BEO5878,0.194,NA
BJV0427,0.055,NA
BKG1309,0.0645,NA
BKH2101,0.0657,NA
BKJ0926,0.0459,NA
BKB2600,0.0513,NA
BKF6789,0.0393,NA
BKD0586,0.0501,NA
BKC2775,0.0522,NA
BJZ0487,0.0533,NA
BJY7661,0.0468,NA
BJX5743,0.0509,NA
BEN2415,0.2625,NA
BET8756,0.273,NA
BES9370,0.1273,NA
BER2051,0.3063,NA
BEX3082,0.2147,NA
BFB3216,0.2709,NA
BEW4359,0.3566,NA
BEV7128,0.3058,NA
BFA3572,0.2279,NA
BEZ2263,0.2001,NA
ACS7639,0.0221,NA
AST6955,0.0166,NA
