id,day,site,elevation,genus,species,project,experiment,plot_id,individual_nr,leaf_nr,plant_height_cm,plant_length_cm,bulk_nr_leaves,length_cm,wet_mass_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,remark,notes1,notes2
AHT7283,12,ACJ,NA,Lachemilla,orbiculata,T,C,1,2,3,2.5,NA,NA,NA,0.172,0.351,0.398,0.388,NA,NA,NA
BIK8949,12,ACJ,NA,Gaultheria,glomerata,T,C,4,2,2,19,NA,NA,NA,0.205,0.495,0.525,0.496,NA,NA,NA
BCM7248,12,ACJ,NA,Carex,pichinchensis,T,C,3,1,NA,19.5,24.3,NA,NA,0.31,0.243,0.211,0.196,NA,NA,NA
BBX7809,12,ACJ,NA,Carex,pichinchensis,T,C,3,2,NA,17.2,24.3,NA,NA,0.344,0.225,0.201,0.189,NA,NA,NA
BFF2916,12,ACJ,NA,Hieracium,c.f. mandonii,T,C,5,1,NA,12,NA,NA,NA,0.307,0.238,0.238,0.251,NA,NA,NA
BFE5770,12,ACJ,NA,Hieracium,c.f. mandonii,T,C,5,2,NA,16,NA,NA,NA,0.21,0.208,0.211,0.183,NA,NA,NA
BHM6297,12,ACJ,NA,Carex,pichinchensis,T,C,5,1,NA,40,54.5,NA,NA,0.649,0.357,0.252,0.357,NA,NA,NA
BKU8933,12,ACJ,NA,Carex,pichinchensis,T,C,5,3,NA,41,44,NA,NA,0.311,0.138,0.123,0.105,NA,NA,NA
BGM5825,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,3,3,3,42.3,53.7,NA,NA,0.488,0.252,0.258,0.254,NA,NA,NA
BJS7544,12,ACJ,NA,Gaultheria,glomerata,T,C,4,1,1,10.5,NA,NA,NA,0.129,0.457,0.46,0.448,NA,NA,NA
BIC3765,12,ACJ,NA,Gaultheria,glomerata,T,C,4,1,2,10.5,NA,NA,NA,0.118,0.447,0.446,0.449,NA,NA,NA
BHJ1002,12,ACJ,NA,Gaultheria,glomerata,T,C,4,1,3,10.5,NA,NA,NA,0.126,0.491,0.502,0.52,NA,NA,NA
BCC0020,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,3,3,1,42.3,53.7,NA,NA,0.41,0.239,0.256,0.223,NA,NA,NA
BEO5878,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,5,3,1,24,63,NA,NA,0.464,0.275,0.281,0.29,NA,NA,NA
AIB4312,12,ACJ,NA,Eriosorus,cheilantoides,T,C,3,2,NA,11.5,NA,NA,NA,0.31,0.389,0.24,0.338,NA,NA,NA
AIC7150,12,ACJ,NA,Eriosorus,cheilantoides,T,C,3,3,NA,12.6,NA,NA,NA,0.251,0.31,0.383,0.482,NA,NA,NA
BFO4074,12,ACJ,NA,Gaultheria,glomerata,T,C,5,3,4,12.5,NA,NA,NA,0.111,0.381,0.394,0.4,NA,NA,NA
BFT9536,12,ACJ,NA,Gaultheria,glomerata,T,C,5,3,5,12.5,NA,NA,NA,0.141,0.435,0.446,0.438,NA,NA,NA
BGU4733,12,ACJ,NA,Gaultheria,glomerata,T,C,1,3,NA,22.1,NA,NA,NA,0.131,0.42,0.419,0.418,NA,NA,NA
BIG1752,12,ACJ,NA,Gaultheria,glomerata,T,C,4,2,1,19,NA,NA,NA,0.234,0.505,0.516,0.535,NA,NA,NA
BFG1747,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,2,1,3,50.4,72.7,NA,NA,0.765,0.284,0.304,0.3,NA,NA,NA
BBW3917,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,2,1,2,50.4,72.7,NA,NA,0.998,0.281,0.272,0.28,NA,NA,NA
BJB1336,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,2,1,4,50.4,72.7,NA,NA,0.794,0.28,0.283,0.273,NA,NA,NA
BEF1022,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,1,2,1,26.5,43.9,NA,NA,2.81,0.248,0.248,0.25,NA,NA,NA
BIX3249,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,2,1,5,50.4,72.7,NA,NA,0.652,2.89,2.96,0.29,NA,NA,NA
BDZ2036,12,ACJ,NA,Gaultheria,glomerata,T,C,5,2,5,15,NA,NA,NA,0.294,0.531,0.485,0.533,NA,NA,NA
BGN2485,12,ACJ,NA,Gaultheria,glomerata,T,C,1,2,2,21.5,NA,NA,NA,0.275,0.455,0.456,0.453,NA,NA,NA
BGR9485,12,ACJ,NA,Gaultheria,glomerata,T,C,1,2,3,21.5,NA,NA,NA,0.302,0.492,0.43,0.456,NA,NA,NA
BHO2021,12,ACJ,NA,Gaultheria,glomerata,T,C,3,3,5,17.8,NA,NA,NA,0.316,0.621,0.584,0.589,NA,NA,NA
BHX1453,12,ACJ,NA,Gaultheria,glomerata,T,C,3,3,4,17.8,NA,NA,NA,0.28,0.505,0.558,0.53,NA,NA,NA
BGX6274,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,1,2,3,26.5,43.9,NA,NA,0.236,0.238,0.234,0.25,NA,NA,NA
BGT4117,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,1,2,2,26.5,43.9,NA,NA,0.146,0.226,0.233,0.25,NA,NA,NA
BFI4689,12,ACJ,NA,Gaultheria,glomerata,T,C,5,2,1,15,NA,NA,NA,0.321,0.539,0.519,0.517,NA,NA,NA
BFV8407,12,ACJ,NA,Gaultheria,glomerata,T,C,1,2,1,21.5,NA,NA,NA,0.342,0.423,0.429,0.418,NA,NA,NA
BGF6708,12,ACJ,NA,Gaultheria,glomerata,T,C,2,2,1,10,NA,NA,NA,0.088,0.436,0.431,0.45,NA,NA,NA
BJK8108,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,4,1,4,33,47,NA,NA,0.352,0.254,0.254,0.267,NA,NA,NA
BJC7535,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,4,2,2,30,46,NA,NA,0.259,0.192,0.207,0.186,NA,NA,NA
BFH2067,12,ACJ,NA,Elaphoglossum,amphioxys,T,C,3,3,NA,18.7,NA,NA,NA,1.021,0.594,0.622,0.628,NA,NA,NA
AHQ2490,12,ACJ,NA,Chaptalia,cordata,T,C,3,1,NA,3.3,NA,NA,NA,0.186,0.353,0.321,0.319,NA,NA,NA
BGZ7243,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,3,2,2,33.5,42.5,NA,NA,0.292,0.214,0.211,0.21,NA,NA,NA
BGD0457,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,3,2,5,33.5,42.5,NA,NA,0.27,0.221,0.215,0.234,NA,NA,NA
BHA7883,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,3,3,4,42.3,53.7,NA,NA,0.215,0.229,0.238,0.233,NA,NA,NA
BGW0254,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,3,3,5,42.3,53.7,NA,NA,0.379,0.233,0.234,0.238,NA,NA,NA
AYZ0852,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,3,3,2,42.3,53.7,NA,NA,0.517,0.249,0.246,0.242,NA,NA,NA
AZW5426,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,1,3,1,28,31.8,NA,NA,0.31,0.243,0.245,0.241,NA,NA,NA
BDB3766,12,ACJ,NA,Elaphoglossum,amphioxys,T,C,1,2,NA,16.5,NA,NA,NA,0.823,0.64,0.673,0.678,NA,NA,NA
AFJ6348,12,ACJ,NA,Elaphoglossum,amphioxys,T,C,1,1,NA,22,NA,NA,NA,1.796,0.773,0.776,0.778,NA,NA,NA
BCH3510,12,ACJ,NA,Elaphoglossum,amphioxys,T,C,2,3,NA,14.5,NA,NA,NA,0.66,0.601,0.595,0.596,NA,NA,NA
BBR4554,12,ACJ,NA,Hypericum,andinum,T,C,2,2,NA,27,NA,NA,10,0.058,0.132,0.131,0.158,NA,NA,NA
BCD3125,12,ACJ,NA,Elaphoglossum,amphioxys,T,C,2,2,NA,9.5,NA,NA,NA,0.627,0.762,0.728,0.68,NA,NA,NA
AHK4586,12,ACJ,NA,Carex,pichinchensis,T,C,4,1,NA,26,60,NA,NA,0.423,0.306,0.255,0.305,NA,NA,NA
BBZ1433,12,ACJ,NA,Elaphoglossum,amphioxys,T,C,2,1,NA,15.5,NA,NA,NA,1.389,0.487,0.539,0.539,NA,NA,NA
BJO6731,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,4,1,3,33,47,NA,NA,0.305,0.27,0.266,0.256,NA,NA,NA
BJW7612,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,4,1,2,33,47,NA,NA,0.3,0.266,0.263,0.261,NA,NA,NA
BAE5311,12,ACJ,NA,Elaphoglossum,huacsaro,T,C,5,2,NA,12.7,NA,NA,NA,0.628,0.48,0.508,0.453,NA,NA,NA
BAF3647,12,ACJ,NA,Elaphoglossum,huacsaro,T,C,5,3,NA,19,NA,NA,NA,0.811,0.429,0.43,0.463,NA,NA,NA
BBN2864,12,ACJ,NA,Hypericum,andinum,T,C,2,3,NA,39.5,NA,NA,10,0.049,0.158,0.185,0.177,NA,NA,NA
BIT3931,12,ACJ,NA,Baccharis,genistelloides,T,C,1,3,NA,33.5,NA,NA,NA,0.489,0.28,0.289,0.277,NA,NA,NA
BER2051,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,5,2,2,41,66,NA,NA,0.618,0.266,0.269,0.27,NA,NA,NA
BAC4448,12,ACJ,NA,Hypericum,andinum,T,C,4,2,NA,18,NA,NA,NA,0.042,0.115,0.127,0.145,NA,NA,NA
BAG8355,12,ACJ,NA,Hypericum,andinum,T,C,4,1,NA,13,NA,NA,NA,0.04,0.12,0.134,0.17,NA,NA,NA
BFA3572,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,5,1,2,48,78,NA,NA,0.578,0.238,0.239,0.254,NA,NA,NA
BEX3082,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,5,2,1,41,66,NA,NA,0.488,0.249,0.247,0.253,NA,NA,NA
BDN3235,12,ACJ,NA,Elaphoglossum,amphioxys,T,C,3,1,NA,34,NA,NA,NA,5.441,0.726,0.757,0.705,NA,NA,NA
BIP2743,12,ACJ,NA,Baccharis,genistelloides,T,C,1,1,NA,13,NA,NA,NA,0.191,0.187,0.202,0.196,NA,NA,NA
BFS6331,12,ACJ,NA,Baccharis,genistelloides,T,C,1,2,NA,18.9,NA,NA,NA,0.367,0.261,0.273,0.289,NA,NA,NA
BCJ9446,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,2,1,1,50.4,72.7,NA,NA,0.991,0.284,0.301,0.295,NA,NA,NA
BHN3887,12,ACJ,NA,Elaphoglossum,huacsaro,T,C,3,1,NA,13.1,NA,NA,NA,0.453,0.622,0.621,0.621,NA,NA,NA
BCX5328,12,ACJ,NA,Elaphoglossum,amphioxys,T,C,3,2,NA,17.6,NA,NA,NA,1.763,0.707,0.695,0.667,NA,NA,NA
BHU0841,12,ACJ,NA,Carex,pichinchensis,T,C,4,2,NA,32,36,NA,NA,0.556,0.35,0.373,0.36,NA,NA,NA
BEW4359,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,5,1,4,48,78,NA,NA,0.931,0.253,0.258,0.279,NA,NA,NA
BHQ5433,12,ACJ,NA,Carex,pichinchensis,T,C,4,3,NA,30,59,NA,NA,0.621,0.288,0.288,0.332,NA,NA,NA
BET8756,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,5,2,4,41,66,NA,NA,0.648,0.259,0.254,0.244,NA,NA,NA
BBF2504,12,ACJ,NA,Elaphoglossum,huacsaro,T,C,2,2,NA,28,NA,NA,NA,0.98,0.57,0.511,0.561,NA,NA,NA
BHF4372,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,1,2,5,26.5,43.9,NA,NA,0.257,0.199,0.181,0.219,NA,NA,NA
BJG2262,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,4,2,1,30,46,NA,NA,0.411,0.217,0.195,0.268,NA,NA,NA
BKA5776,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,4,2,3,30,46,NA,NA,0.489,0.219,0.2,0.221,NA,NA,NA
BHR1816,12,ACJ,NA,Elaphoglossum,huacsaro,T,C,3,3,NA,7.9,NA,NA,NA,0.219,0.595,0.539,0.547,NA,NA,NA
BCF1541,12,ACJ,NA,Elaphoglossum,huacsaro,T,C,3,2,NA,15.2,NA,NA,NA,0.318,0.608,0.572,0.599,NA,NA,NA
BAH2272,12,ACJ,NA,Vaccinium,floribundum,T,C,2,1,1,57,NA,NA,NA,0.073,0.451,0.549,0.547,NA,NA,NA
AKX4299,12,ACJ,NA,Pernettya,postrata,T,C,1,1,NA,34,NA,5,NA,0.085,0.587,0.549,0.553,NA,NA,NA
BCK8014,12,ACJ,NA,Chaptalia,cordata,T,C,5,2,NA,9.5,NA,NA,NA,0.658,0.47,0.423,0.396,NA,NA,NA
BEJ4401,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,1,1,2,31,35,NA,NA,0.311,0.289,0.294,0.268,NA,NA,NA
BEK0489,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,1,1,3,31,35,NA,NA,0.379,0.295,0.296,0.296,NA,NA,NA
BEL0587,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,1,1,4,31,35,NA,NA,0.289,0.287,0.31,0.297,NA,NA,NA
BEE4142,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,1,1,5,31,35,NA,NA,0.207,0.297,0.314,0.319,NA,NA,NA
BBD5742,12,ACJ,NA,Vaccinium,floribundum,T,C,1,1,5,24.8,NA,5,37.1,0.095,0.506,0.505,0.489,NA,NA,NA
BCG1548,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,3,2,1,33.5,42.5,NA,NA,0.231,0.226,0.22,0.206,NA,NA,NA
BGJ6213,12,ACJ,NA,Baccharis,genistelloides,T,C,5,1,NA,48.9,NA,NA,NA,0.382,0.251,0.28,0.257,NA,NA,NA
BEP3008,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,1,1,1,31,35,NA,NA,0.392,0.285,0.268,0.279,NA,NA,NA
BDM8832,12,ACJ,NA,Chaptalia,cordata,T,C,4,1,NA,9,NA,NA,NA,0.362,0.347,0.375,0.389,NA,NA,NA
BCT1282,12,ACJ,NA,Chaptalia,cordata,T,C,4,2,NA,4,NA,NA,NA,0.429,0.449,0.503,0.48,NA,NA,NA
BFD5127,12,ACJ,NA,Chaptalia,cordata,T,C,4,3,NA,3,NA,NA,NA,0.779,0.338,0.313,0.32,NA,NA,NA
BCS9988,12,ACJ,NA,Chaptalia,cordata,T,C,5,3,NA,21,NA,NA,NA,0.878,0.408,0.473,0.382,NA,NA,NA
BAA4393,12,ACJ,NA,Elaphoglossum,huacsaro,T,C,5,1,NA,18.1,NA,NA,NA,0.386,0.521,0.499,0.517,NA,NA,NA
AHS3014,12,ACJ,NA,Lachemilla,orbiculata,T,C,1,2,2,2.5,NA,NA,NA,0.184,0.334,0.307,0.327,NA,NA,NA
AHZ5138,12,ACJ,NA,Lachemilla,orbiculata,T,C,1,2,1,2.5,NA,NA,NA,0.162,0.434,0.319,0.322,NA,NA,NA
AIA8185,12,ACJ,NA,Eriosorus,cheilantoides,T,C,3,1,NA,20.9,NA,NA,NA,0.816,0.471,0.483,0.435,NA,NA,NA
BHB3462,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,1,2,4,26.5,43.9,NA,NA,0.151,0.232,0.244,0.226,NA,NA,NA
BIE6205,12,ACJ,NA,Gaultheria,glomerata,T,C,3,2,1,4.6,NA,NA,NA,0.161,0.486,0.495,0.459,NA,NA,NA
BIN2512,12,ACJ,NA,Gaultheria,glomerata,T,C,3,1,5,19.4,NA,NA,NA,0.152,0.555,0.591,0.556,NA,NA,NA
BII9464,12,ACJ,NA,Gaultheria,glomerata,T,C,3,1,4,19.4,NA,NA,NA,0.215,0.566,0.545,0.537,NA,NA,NA
BIR4394,12,ACJ,NA,Gaultheria,glomerata,T,C,3,1,3,19.4,NA,NA,NA,0.247,0.607,0.569,0.545,NA,NA,NA
BBK1325,12,ACJ,NA,Gaultheria,glomerata,T,C,1,2,4,21.5,NA,NA,NA,0.258,0.482,0.49,0.449,NA,NA,NA
BGQ3334,12,ACJ,NA,Gaultheria,glomerata,T,C,1,2,5,21.5,NA,NA,NA,0.287,0.502,0.525,0.498,NA,NA,NA
BIM1986,12,ACJ,NA,Gaultheria,glomerata,T,C,3,2,5,4.6,NA,NA,NA,0.088,0.473,0.448,0.427,NA,NA,NA
BIF7120,12,ACJ,NA,Gaultheria,glomerata,T,C,3,2,4,4.6,NA,NA,NA,0.13,0.509,0.518,0.477,NA,NA,NA
BIJ9955,12,ACJ,NA,Gaultheria,glomerata,T,C,3,2,3,4.6,NA,NA,NA,0.132,0.539,0.499,0.459,NA,NA,NA
AHV6564,12,ACJ,NA,Chaptalia,cordata,T,C,3,2,NA,3.3,NA,NA,NA,0.271,0.482,0.491,0.452,NA,NA,NA
AHR0591,12,ACJ,NA,Chaptalia,cordata,T,C,3,3,NA,2.7,NA,NA,NA,0.22,0.393,0.403,0.349,NA,NA,NA
BHY2343,12,ACJ,NA,Elaphoglossum,huacsaro,T,C,2,1,NA,9,NA,NA,NA,0.312,0.534,0.62,0.694,NA,NA,NA
BBV3650,12,ACJ,NA,Elaphoglossum,amphioxys,T,C,1,3,NA,17.5,NA,NA,NA,1.497,0.703,0.708,0.72,NA,NA,NA
BBJ6370,12,ACJ,NA,Elaphoglossum,huacsaro,T,C,2,3,NA,16.5,NA,NA,NA,0.356,0.497,0.512,0.48,NA,NA,NA
BGB9549,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,3,2,3,33.5,42.5,NA,NA,0.285,0.199,0.201,0.193,NA,NA,NA
BGA6044,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,3,2,4,33.5,42.5,NA,NA,0.283,0.209,0.199,0.198,NA,NA,NA
BEZ2263,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,5,1,1,48,78,NA,NA,0.589,0.243,0.232,0.231,NA,NA,NA
BKI1080,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,4,1,1,33,47,NA,NA,0.381,0.246,0.24,0.239,NA,NA,NA
BBS0819,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,2,2,NA,53,121.5,NA,NA,0.73,0.241,0.268,0.268,NA,NA,NA
BCB3365,12,ACJ,NA,Rhynchospora,macrochaeta,T,C,2,3,NA,102.6,116.3,NA,NA,0.499,0.277,0.289,0.283,NA,NA,NA
AZR3366,12,ACJ,NA,Miconia,rotundifolia,T,C,1,3,NA,10.5,NA,1,NA,0.059,0.366,0.393,0.361,NA,NA,NA
BGY8223,12,ACJ,NA,Vaccinium,floribundum,T,C,3,1,4,26.5,NA,5,NA,0.078,0.531,0.493,0.515,NA,NA,NA
BFZ2035,12,ACJ,NA,Lycopodium,clavatum,T,C,3,3,NA,9.6,NA,NA,10,0.236,0.234,0.122,0.162,NA,NA,NA
BAI5013,12,ACJ,NA,Hypericum,andinum,T,C,4,3,NA,23.5,NA,NA,NA,0.037,0.081,0.069,0.054,NA,NA,NA
BAD9325,12,ACJ,NA,Vaccinium,floribundum,T,C,3,1,2,26.5,NA,5,NA,0.089,0.529,0.535,0.547,NA,NA,NA
BBM4168,12,ACJ,NA,Vaccinium,floribundum,T,C,3,1,1,26.5,NA,5,NA,0.086,0.55,0.483,0.533,NA,NA,NA
BFQ6881,12,ACJ,NA,Vaccinium,floribundum,T,C,3,1,3,26.5,NA,4,NA,0.063,0.533,0.476,0.491,NA,NA,NA
BKD0586,12,ACJ,NA,Vaccinium,floribundum,T,C,5,2,5,25,NA,5,NA,0.115,0.514,0.465,0.493,NA,NA,NA
BKH2101,12,ACJ,NA,Vaccinium,floribundum,T,C,5,1,4,24,NA,5,NA,0.162,0.6,0.614,0.596,NA,NA,NA
AZO1059,12,ACJ,NA,Hypericum,andinum,T,C,1,1,NA,20.4,NA,NA,10,0.029,0.055,0.05,0.085,NA,NA,NA
AKZ8833,12,ACJ,NA,Pernettya,postrata,T,C,1,3,NA,15.5,NA,NA,NA,0.072,0.537,0.546,0.431,NA,NA,NA
AZI3417,12,ACJ,NA,Vaccinium,floribundum,T,C,1,1,1,24.8,NA,NA,37.1,0.076,0.494,0.443,0.467,NA,NA,NA
AZY4527,12,ACJ,NA,Vaccinium,floribundum,T,C,1,1,3,24.8,NA,5,37.1,0.09,0.465,0.427,0.431,NA,NA,NA
BAM2811,12,ACJ,NA,Vaccinium,floribundum,T,C,2,3,NA,30,NA,NA,NA,0.102,0.456,0.463,0.438,NA,NA,NA
BAB2292,12,ACJ,NA,Vaccinium,floribundum,T,C,1,1,2,24.8,NA,NA,37.1,0.082,0.439,0.392,0.411,NA,NA,NA
BKJ0926,12,ACJ,NA,Vaccinium,floribundum,T,C,5,1,3,24,NA,5,NA,0.106,0.429,0.534,0.395,NA,NA,NA
AYW8578,12,ACJ,NA,Hypericum,andinum,T,C,3,2,NA,25.1,NA,NA,10,0.038,0.115,0.088,0.106,NA,NA,NA
BBQ7082,12,ACJ,NA,Vaccinium,floribundum,T,C,2,2,2,29,NA,NA,NA,0.085,0.404,0.479,0.453,NA,NA,NA
BAK4546,12,ACJ,NA,Vaccinium,floribundum,T,C,2,2,3,29,NA,NA,NA,0.076,0.423,0.48,0.431,NA,NA,NA
BBB1123,12,ACJ,NA,Vaccinium,floribundum,T,C,2,2,1,29,NA,4,NA,0.061,0.474,0.396,0.458,NA,NA,NA
AIT9407,12,ACJ,NA,Vaccinium,floribundum,T,C,4,3,NA,34,NA,5,NA,0.156,0.537,0.576,0.535,NA,NA,NA
BKF6789,12,ACJ,NA,Vaccinium,floribundum,T,C,5,1,1,24,NA,5,NA,0.091,0.598,0.435,0.448,NA,NA,NA
AAM1673,12,ACJ,NA,Halenia,umbellata,T,C,3,1,4,6.4,NA,NA,NA,0.074,0.21,0.219,0.256,NA,NA,NA
BKB2600,12,ACJ,NA,Vaccinium,floribundum,T,C,5,1,2,24,NA,5,NA,0.117,0.591,0.607,0.496,NA,NA,NA
BFK0583,12,ACJ,NA,Gaultheria,glomerata,T,C,5,3,3,12.5,NA,NA,NA,0.2,0.546,0.56,0.558,NA,NA,NA
AZV3791,12,ACJ,NA,Miconia,rotundifolia,T,C,1,1,NA,7.5,NA,1,NA,0.089,0.409,0.423,0.492,NA,NA,NA
BKC2775,12,ACJ,NA,Vaccinium,floribundum,T,C,5,2,4,25,NA,5,NA,0.118,0.523,0.402,0.465,NA,NA,NA
AZF5769,12,ACJ,NA,Miconia,rotundifolia,T,C,1,2,NA,6.5,NA,1,NA,0.108,0.522,0.458,0.358,NA,NA,NA
BKG1309,12,ACJ,NA,Vaccinium,floribundum,T,C,5,1,5,24,NA,5,NA,0.156,0.54,0.603,0.582,NA,NA,NA
BGK5343,12,ACJ,NA,Hypericum,andinum,T,C,5,1,NA,NA,NA,NA,NA,0.0329,0.155,0.114,0.119,NA,NA,NA
AIN6045,12,ACJ,NA,Vaccinium,floribundum,T,C,4,1,NA,26,NA,5,NA,0.114,0.366,0.489,0.458,NA,NA,NA
AWS4753,12,ACJ,NA,Pernettya,postrata,T,C,5,3,NA,35,NA,5,NA,0.093,0.251,0.268,0.268,NA,NA,NA
AIJ5153,12,ACJ,NA,Vaccinium,floribundum,T,C,4,2,NA,46,NA,NA,NA,0.1,0.533,0.478,0.495,NA,NA,NA
AWD5144,12,ACJ,NA,Pernettya,postrata,T,C,5,2,NA,31,NA,5,NA,0.082,0.279,0.439,0.269,NA,NA,NA
BDF8648,12,ACJ,NA,Hypericum,andinum,T,C,3,1,NA,13.6,NA,NA,10,0.032,0.09,0.07,0.118,NA,NA,NA
BFY7624,12,ACJ,NA,Vaccinium,floribundum,T,C,3,2,3,12.4,NA,5,NA,0.108,0.192,0.244,0.265,NA,NA,NA
AAG6831,12,ACJ,NA,Paspalum,bonplandianum,T,C,4,1,1,19,NA,NA,19,0.076,0.1,0.128,0.122,NA,NA,NA
AIQ0923,12,QUE,NA,Euphorbia,huancachana,T,BB,1,3,NA,1.2,NA,5,NA,0.027,0.208,0.197,0.203,NA,NA,NA
ail6011,12,QUE,NA,Werneria,nubigena,T,BB,5,3,NA,3.3,NA,NA,NA,0.111,0.563,0.642,0.602,NA,NA,NA
AIY8963,12,QUE,NA,Oreithales,integrifolia,T,BB,5,3,NA,0.21,NA,1,NA,0.392,0.429,0.491,0.576,NA,NA,NA
BAJ5053,12,ACJ,NA,Vaccinium,floribundum,T,C,2,2,4,29,NA,NA,NA,0.084,0.358,0.402,0.439,NA,NA,NA
BBI6535,12,ACJ,NA,Vaccinium,floribundum,T,C,1,3,NA,30,NA,5,NA,0.091,0.567,0.458,0.503,NA,NA,NA
AZJ1578,12,QUE,NA,Aphanactis,villosa,T,BB,3,1,2,4,NA,NA,NA,0.019,0.231,0.238,0.226,NA,NA,NA
BAV9519,12,ACJ,NA,Lycopodium,clavatum,T,C,1,3,NA,20.5,NA,NA,NA,0.21,0.109,0.154,0.063,NA,NA,NA
AAW2094,12,ACJ,NA,Hieracium,c.f. mandonii,T,C,2,2,NA,8.5,NA,NA,NA,0.201,0.292,0.298,0.266,NA,NA,NA
ADT1647,12,ACJ,NA,Lachemilla,orbiculata,T,C,2,3,3,3,NA,NA,NA,0.077,0.332,0.32,0.385,NA,NA,NA
AAI8954,12,ACJ,NA,Halenia,umbellata,T,C,4,3,3,18,NA,NA,NA,0.065,0.221,0.222,0.207,NA,NA,NA
AIM4525,12,QUE,NA,Werneria,nubigena,T,BB,5,1,NA,6.4,NA,NA,NA,0.231,0.561,0.609,0.646,NA,NA,NA
BBO2032,12,ACJ,NA,Vaccinium,floribundum,T,C,1,2,1,31.5,NA,5,64,0.105,0.422,0.49,0.409,NA,NA,NA
BBL1905,12,ACJ,NA,Vaccinium,floribundum,T,C,1,2,3,31.5,NA,5,64,0.134,0.533,0.434,0.427,NA,NA,NA
BBH6627,12,ACJ,NA,Vaccinium,floribundum,T,C,1,2,2,31.5,NA,5,64,0.128,0.598,0.402,0.385,NA,NA,NA
BBE9957,12,ACJ,NA,Vaccinium,floribundum,T,C,1,2,5,31.5,NA,5,64,0.118,0.41,0.371,0.385,NA,NA,NA
ACH3760,12,ACJ,NA,Halenia,umbellata,T,C,1,2,3,10.8,NA,NA,NA,0.078,0.218,0.226,0.28,NA,NA,NA
ABJ6329,12,ACJ,NA,Halenia,umbellata,T,C,1,2,2,10.8,NA,NA,NA,0.097,0.277,0.276,0.311,NA,NA,NA
ABH3333,12,ACJ,NA,Halenia,umbellata,T,C,3,3,4,9.6,NA,NA,NA,0.059,0.298,0.293,0.31,NA,NA,NA
AUG4202,12,ACJ,NA,Lachemilla,orbiculata,T,C,3,2,1,6.1,NA,NA,NA,0.128,0.234,0.234,0.217,NA,NA,NA
BAL4822,12,ACJ,NA,Vaccinium,floribundum,T,C,2,1,2,57,NA,NA,NA,0.082,0.522,0.474,0.539,NA,NA,NA
BGC9326,12,ACJ,NA,Vaccinium,floribundum,T,C,3,2,4,12.4,NA,5,NA,0.112,0.493,0.495,0.521,NA,NA,NA
BAP6673,12,ACJ,NA,Vaccinium,floribundum,T,C,2,1,3,57,NA,NA,NA,0.076,0.415,0.432,0.35,NA,NA,NA
BBP7296,12,ACJ,NA,Vaccinium,floribundum,T,C,1,2,4,31.5,NA,5,64,0.154,0.477,0.515,0.404,NA,NA,NA
BJY7661,12,ACJ,NA,Vaccinium,floribundum,T,C,5,2,2,25,NA,NA,NA,0.114,0.486,0.504,0.465,NA,NA,NA
BJX5743,12,ACJ,NA,Vaccinium,floribundum,T,C,5,2,1,25,NA,5,NA,0.127,0.449,0.394,0.433,NA,NA,NA
