site,treatment,plot_id,functional_group,family,taxon,name_2020,notes
ACJ,B,1,Woody,Asteraceae,Baccharis sp,Baccharis tricuneata,NA
ACJ,B,1,Fern,Pteridaceae,Eriosorus cheilanthoides,Eriosorus cheilanthoides,NA
ACJ,B,1,Forb,Rubiaceae,Galium hypocarpium,Galium corymbosum,NA
ACJ,B,1,Woody,Ericaceae,Gaultheria glomerata,Gaultheria glomerata,NA
ACJ,B,1,Woody,Ericaceae,Gaultheria vaccinioides,Gaultheria vaccinioides,NA
ACJ,B,1,Forb,Gentianaceae,Gentiana sedifolia,Gentiana sedifolia,NA
ACJ,B,1,Forb,Gentianaceae,Halenia umbellata,Halenia umbellata,NA
ACJ,B,1,Forb,Asteraceae,Hieracium sp,Hieracium cf. mandonii,NA
ACJ,B,1,Woody,Hypericaceae,Hypericum andinum,Hypericum andinum,NA
ACJ,B,1,Fern,Lycopodiaceae,Lycopodium sp,Lycopodium clavatum,NA
ACJ,B,1,Woody,Melastomataceae,Miconia rotundifolia,Miconia rotundifolia,NA
ACJ,B,1,Woody,Ericaceae,Pernettya prostrata,Pernettya prostrata,NA
ACJ,B,1,Woody,Ericaceae,Vaccinium floribundum,Vaccinium floribundum,NA
ACJ,B,1,Gramminoid,Poaceae,Paspalum bonplandianum,Paspalum bonplandianum,NA
ACJ,B,1,Gramminoid,Poaceae,Bromus spblue,Festuca dolichophylla,NA
ACJ,B,1,Gramminoid,Cyperaceae,Carex pichinchensis,Carex pichinchensis,NA
ACJ,B,1,Gramminoid,Cyperaceae,Rhynchospora macrochaeta,Rhynchospora macrochaeta,NA
ACJ,B,1,Gramminoid,Poaceae,Calamagrostis sp2,Calamagrostis tarmensis,NA
ACJ,B,1,Gramminoid,Poaceae,Agrostis spnorwegian,Agrostis mertensii,NA
ACJ,B,2,Forb,Rosaceae,Alchemilla vulcanica,Lachemilla jamesonii,NA
ACJ,B,2,Forb,Asteraceae,Chaptalia cordata,Chaptalia cordata,NA
ACJ,B,2,Fern,Pteridaceae,Eriosorus cheilanthoides,Eriosorus cheilanthoides,NA
ACJ,B,2,Woody,Ericaceae,Gaultheria glomerata,Gaultheria glomerata,NA
ACJ,B,2,Forb,Gentianaceae,Halenia umbellata,Halenia umbellata,NA
ACJ,B,2,Forb,Asteraceae,Hieracium sp,Hieracium cf. mandonii,NA
ACJ,B,2,Woody,Melastomataceae,Miconia rotundifolia,Miconia rotundifolia,NA
ACJ,B,2,Woody,Ericaceae,Pernettya prostrata,Pernettya prostrata,NA
ACJ,B,2,Forb,Bromeliaceae,Puya leptostachya,Puya leptostachya,NA
ACJ,B,2,Woody,Ericaceae,Vaccinium floribundum,Vaccinium floribundum,NA
ACJ,B,2,Gramminoid,Cyperaceae,Carex tristicha,Carex pygmaea,NA
ACJ,B,2,Gramminoid,Poaceae,Paspalum bonplandianum,Paspalum bonplandianum,NA
ACJ,B,2,Gramminoid,Cyperaceae,Rhynchospora macrochaeta,Rhynchospora macrochaeta,NA
ACJ,B,2,Gramminoid,Poaceae,Calamagrostis sp2,Calamagrostis tarmensis,NA
ACJ,B,2,Gramminoid,Cyperaceae,Scirpus sp,Oreobolus venezuelensis,NA
ACJ,B,2,Gramminoid,Juncaceae,Luzula sp,Luzula racemosa,NA
ACJ,B,2,Gramminoid,Poaceae,Agrostis spnorwegian,Agrostis mertensii,NA
ACJ,B,2,Gramminoid,Poaceae,Bromus spblue,Festuca dolichophylla,NA
ACJ,B,3,Forb,Rosaceae,Alchemilla sp,Lachemilla cf vulcanica,NA
ACJ,B,3,Woody,Asteraceae,Baccharis genistelloides,Baccharis genistelloides,NA
ACJ,B,3,Forb,Asteraceae,Chaptalia cordata,Chaptalia cordata,NA
ACJ,B,3,Woody,Ericaceae,Gaultheria glomerata,Gaultheria glomerata,NA
ACJ,B,3,Forb,Gentianaceae,Halenia umbellata,Halenia umbellata,NA
ACJ,B,3,Fern,Pteridaceae,Jamesonia alstonii,Jamesonia blepharum,NA
ACJ,B,3,Fern,Lycopodiaceae,Lycopodium sp,Lycopodium clavatum,NA
ACJ,B,3,Forb,Violaceae,Lysipomia laciniata,Viola pygmaea,NA
ACJ,B,3,Woody,Melastomataceae,Miconia rotundifolia,Miconia rotundifolia,NA
ACJ,B,3,Gramminoid,Poaceae,Paspalum bonplandianum,Paspalum bonplandianum,NA
ACJ,B,3,Woody,Ericaceae,Pernettya prostrata,Pernettya prostrata,NA
ACJ,B,3,Woody,Ericaceae,Vaccinium floribundum,Vaccinium floribundum,NA
ACJ,B,3,Gramminoid,Poaceae,Bromus sp,Festuca dolichophylla,"before Festuca procera, modified by lucely"
ACJ,B,3,Gramminoid,Cyperaceae,Carex tristicha,Carex pygmaea,NA
ACJ,B,3,Gramminoid,Poaceae,Cortaderia bifida,Cortaderia bifida,NA
ACJ,B,3,Gramminoid,Cyperaceae,Rhynchospora macrochaeta,Rhynchospora macrochaeta,NA
ACJ,B,3,Gramminoid,Poaceae,Calamagrostis sp2,Calamagrostis tarmensis,NA
ACJ,B,4,Woody,Asteraceae,Baccharis genistelloides,Baccharis genistelloides,NA
ACJ,B,4,Woody,Melastomataceae,Brachyotum sp,Brachyotum grisebachii,NA
ACJ,B,4,Forb,Rubiaceae,Galium hypocarpium,Galium corymbosum,NA
ACJ,B,4,Woody,Ericaceae,Gaultheria glomerata,Gaultheria glomerata,NA
ACJ,B,4,Forb,Gentianaceae,Halenia umbellata,Halenia umbellata,NA
ACJ,B,4,Woody,Ericaceae,Pernettya prostrata,Pernettya prostrata,NA
ACJ,B,4,Woody,Ericaceae,Vaccinium floribundum,Vaccinium floribundum,NA
ACJ,B,4,Gramminoid,Poaceae,Agrostis sp2,Agrostis mertensii,NA
ACJ,B,4,Gramminoid,Poaceae,Bromus spblue,Festuca dolichophylla,NA
ACJ,B,4,Gramminoid,Cyperaceae,Carex pichinchensis,Carex pichinchensis,NA
ACJ,B,4,Gramminoid,Cyperaceae,Carex tristicha,Carex pygmaea,NA
ACJ,B,4,Gramminoid,Cyperaceae,Rhynchospora macrochaeta,Rhynchospora macrochaeta,NA
ACJ,B,4,Gramminoid,Poaceae,Calamagrostis sp2,Calamagrostis tarmensis,NA
ACJ,B,5,Forb,Rosaceae,Alchemilla sp,Lachemilla cf vulcanica,NA
ACJ,B,5,Fern,Dryopteridaceae,Elaphoglossum huacsaro,Elaphoglossum huacsaro,NA
ACJ,B,5,Forb,Rubiaceae,Galium hypocarpium,Galium corymbosum,NA
ACJ,B,5,Woody,Ericaceae,Gaultheria glomerata,Gaultheria glomerata,NA
ACJ,B,5,Forb,Gentianaceae,Halenia umbellata,Halenia umbellata,NA
ACJ,B,5,Woody,Hypericaceae,Hypericum andinum,Hypericum andinum,NA
ACJ,B,5,Fern,Lycopodiaceae,Lycopodium sp,Lycopodium clavatum,NA
ACJ,B,5,Woody,Ericaceae,Pernettya prostrata,Pernettya prostrata,NA
ACJ,B,5,Forb,Bromeliaceae,Puya leptostachya,Puya leptostachya,NA
ACJ,B,5,Woody,Ericaceae,Vaccinium floribundum,Vaccinium floribundum,NA
ACJ,B,5,Gramminoid,Poaceae,Agrostis sp2,Calamagrostis cf. amoena,NA
ACJ,B,5,Gramminoid,Cyperaceae,Carex tristicha,Carex pygmaea,NA
ACJ,B,5,Gramminoid,Cyperaceae,Rhynchospora macrochaeta,Rhynchospora macrochaeta,NA
ACJ,B,5,Gramminoid,Poaceae,Calamagrostis sp2,Calamagrostis tarmensis,NA
ACJ,B,5,Gramminoid,Juncaceae,Luzula sp,Luzula racemosa,NA
ACJ,B,5,Gramminoid,Poaceae,Agrostis sp4,Agrostis mertensii,NA
ACJ,B,5,Gramminoid,Poaceae,Bromus spblue,Festuca dolichophylla,NA
ACJ,C,1,Woody,Asteraceae,Baccharis genistelloides,Baccharis genistelloides,NA
ACJ,C,1,Forb,Asteraceae,Chaptalia cordata,Chaptalia cordata,NA
ACJ,C,1,Fern,Dryopteridaceae,Elaphoglossum huacsaro,Elaphoglossum huacsaro,NA
ACJ,C,1,Woody,Ericaceae,Gaultheria glomerata,Gaultheria glomerata,NA
ACJ,C,1,Forb,Gentianaceae,Halenia umbellata,Halenia umbellata,NA
ACJ,C,1,Woody,Hypericaceae,Hypericum andinum,Hypericum andinum,NA
ACJ,C,1,Woody,Ericaceae,Pernettya prostrata,Pernettya prostrata,NA
ACJ,C,1,Woody,Ericaceae,Vaccinium floribundum,Vaccinium floribundum,NA
ACJ,C,1,Woody,Ericaceae,Gaultheria vaccinioides,Gaultheria vaccinioides,NA
ACJ,C,1,Fern,Lycopodiaceae,Lycopodium sp,Lycopodium clavatum,NA
ACJ,C,1,Fern,Pteridaceae,Eriosorus cheilanthoides,Eriosorus cheilanthoides,NA
ACJ,C,1,Woody,Melastomataceae,Miconia rotundifolia,Miconia rotundifolia,NA
ACJ,C,1,Fern,Polypodiaceae,Melpomene moniliformis,Melpomene moniliformis,NA
ACJ,C,1,Gramminoid,Poaceae,Calamagrostis sp2,Calamagrostis tarmensis,NA
ACJ,C,1,Gramminoid,Poaceae,Agrostis sp2,Agrostis mertensii,NA
ACJ,C,1,Gramminoid,Cyperaceae,Carex pichinchensis,Carex pichinchensis,NA
ACJ,C,1,Gramminoid,Poaceae,Bromus sp,Festuca dolichophylla,"before Festuca procera, modified by lucely"
ACJ,C,1,Gramminoid,Cyperaceae,Rhynchospora macrochaeta,Rhynchospora macrochaeta,NA
ACJ,C,1,Gramminoid,Poaceae,Cortaderia bifida,Cortaderia hapalotricha,NA
ACJ,C,2,Forb,Asteraceae,Chaptalia cordata,Chaptalia cordata,NA
ACJ,C,2,Gramminoid,Poaceae,Cortaderia bifida,Cortaderia bifida,NA
ACJ,C,2,Fern,Dryopteridaceae,Elaphoglossum sp1,Elaphoglossum amphioxys,NA
ACJ,C,2,Fern,Pteridaceae,Eriosorus cheilanthoides,Eriosorus cheilanthoides,NA
ACJ,C,2,Woody,Ericaceae,Gaultheria glomerata,Gaultheria glomerata,NA
ACJ,C,2,Forb,Asteraceae,Hieracium sp,Hieracium cf. mandonii,NA
ACJ,C,2,Fern,Polypodiaceae,Melpomene moniliformis,Melpomene moniliformis,NA
ACJ,C,2,Woody,Melastomataceae,Miconia rotundifolia,Miconia rotundifolia,NA
ACJ,C,2,Forb,Orchidaceae,Orchidaceae,Pterichis sp1,NA
ACJ,C,2,Woody,Ericaceae,Vaccinium floribundum,Vaccinium floribundum,NA
ACJ,C,2,Gramminoid,Cyperaceae,Juncus sp,Carex sp8,NA
ACJ,C,2,Gramminoid,Poaceae,Calamagrostis sp2,Calamagrostis tarmensis,NA
ACJ,C,2,Gramminoid,Poaceae,Agrostis sp2,Agrostis mertensii,NA
ACJ,C,3,Woody,Asteraceae,Baccharis genistelloides,Baccharis genistelloides,NA
ACJ,C,3,Forb,Asteraceae,Chaptalia cordata,Chaptalia cordata,NA
ACJ,C,3,Fern,Dryopteridaceae,Elaphoglossum huacsaro,Elaphoglossum huacsaro,NA
ACJ,C,3,Fern,Dryopteridaceae,Elaphoglossum amphioxys,Elaphoglossum amphioxys,NA
ACJ,C,3,Fern,Pteridaceae,Eriosorus cheilanthoides,Eriosorus cheilanthoides,NA
ACJ,C,3,Forb,Rubiaceae,Galium hypocarpium,Galium corymbosum,NA
ACJ,C,3,Woody,Ericaceae,Gaultheria glomerata,Gaultheria glomerata,NA
ACJ,C,3,Forb,Asteraceae,Hieracium sp,Hieracium cf. mandonii,NA
ACJ,C,3,Woody,Hypericaceae,Hypericum andinum,Hypericum andinum,NA
ACJ,C,3,Fern,Lycopodiaceae,Lycopodium sp,Lycopodium clavatum,NA
ACJ,C,3,Fern,Polypodiaceae,Melpomene moniliformis,Melpomene moniliformis,NA
ACJ,C,3,Gramminoid,Poaceae,Bromus lanatus,Bromus lanatus,NA
ACJ,C,3,Gramminoid,Cyperaceae,Carex pichinchensis,Carex pichinchensis,NA
ACJ,C,3,Gramminoid,Poaceae,Cortaderia bifida,Cortaderia bifida,NA
ACJ,C,3,Gramminoid,Cyperaceae,Rhynchospora macrochaeta,Rhynchospora macrochaeta,NA
ACJ,C,3,Gramminoid,Poaceae,Calamagrostis sp2,Calamagrostis tarmensis,NA
ACJ,C,3,Gramminoid,Poaceae,Calamagrostis sp3,Calamagrostis tarmensis,NA
ACJ,C,3,Gramminoid,Poaceae,Agrostis sp4,Agrostis mertensii,NA
ACJ,C,4,Forb,Rosaceae,Alchemilla vulcanica,Lachemilla orbiculata,NA
ACJ,C,4,Forb,Asteraceae,Chaptalia cordata,Chaptalia cordata,NA
ACJ,C,4,Fern,Dryopteridaceae,Elaphoglossum huacsaro,Elaphoglossum huacsaro,NA
ACJ,C,4,Woody,Ericaceae,Gaultheria glomerata,Gaultheria glomerata,NA
ACJ,C,4,Woody,Hypericaceae,Hypericum andinum,Hypericum andinum,NA
ACJ,C,4,Fern,Polypodiaceae,Melpomene moniliformis,Melpomene moniliformis,NA
ACJ,C,4,Woody,Ericaceae,Pernettya prostrata,Pernettya prostrata,NA
ACJ,C,4,Woody,Ericaceae,Vaccinium floribundum,Vaccinium floribundum,NA
ACJ,C,4,Gramminoid,Poaceae,Bromus sp,Festuca procera,NA
