month,site,treatment,plot_id,functional_group,family,taxon,name_2020,notes
July,WAY,C,4,Fern,Lycopodiaceae,Lycopodium clavatum,Lycopodium clavatum,NA
July,WAY,C,5,Forb,Gentianaceae,Gentiana sedifolia,Gentiana sedifolia,NA
July,WAY,C,5,Forb,Iridaceae,Sisyrinchium vaginatum,Sisyrinchium vaginatum,NA
July,WAY,C,5,Forb,Asteraceae,Hieracium sp1,Hieracium cf. mandonii,NA
July,WAY,C,2,Forb,Asteraceae,Hieracium sp1,Hieracium cf. mandonii,NA
July,WAY,C,3,Forb,Asteraceae,Hieracium sp1,Hieracium cf. mandonii,NA
July,WAY,C,5,Forb,Rubiaceae,Nertera granadensis,Nertera granadensis,NA
July,ACJ,NB,5,Woody,Ericaceae,Gaultheria glomerata,Gaultheria glomerata,NA
July,ACJ,NB,2,Fern,Pteridaceae,Jamesonia alstonii,Jamesonia blepharum,NA
July,ACJ,NB,General,Gramminoid,Cyperaceae,Rinchospora machrochaeta fina,Rhynchospora seedlings,NA
July,ACJ,NB,General,Gramminoid,Cyperaceae,Rinchospora machrochaeta gruesa,Rhynchospora seedlings,NA
July,PIL,B,3,Forb,Gentianaceae,Gentiana sedifolia,Gentiana sedifolia,NA
July,ACJ,B,3,Forb,Asteraceae,Hieracium sp1,Hieracium cf. mandonii,NA
July,ACJ,B,4,Woody,Hypericaceae,Hypericum andinum,Hypericum andinum,NA
July,ACJ,B,4,Forb,Asteraceae,Hieracium sp1,Hieracium cf. mandonii,NA
July,ACJ,B,4,Gramminoid,Poaceae,Paspalum bonplandianum,Paspalum bonplandianum,NA
July,PIL,C,2,Gramminoid,Poaceae,Not stipa softer,Calamagrostis tarmensis,NA
July,PIL,C,2,Gramminoid,Poaceae,Calamagrostis big,Calamagrostis rigida,NA
July,PIL,C,1,Gramminoid,Cyperaceae,Rhynchospora macrochaeta,Rhynchospora macrochaeta,NA
July,PIL,C,1,Gramminoid,Poaceae,Poa purpurea,Agrostis foliata,NA
July,PIL,C,4,Gramminoid,Juncaceae,Luzula wide,Luzula racemosa,NA
July,PIL,C,4,Gramminoid,Poaceae,Agrostis sp2,Agrostis mertensii,NA
July,PIL,C,3,Forb,Rubiaceae,Nertera granadensis,Nertera granadensis,NA
July,PIL,C,2,Forb,Asteraceae,Perezia pungens,Perezia pungens,NA
July,PIL,C,5,Forb,Asteraceae,Chaptalia cordata,Chaptalia cordata,NA
April,QUE,C,3,Woody,Ericaceae,Vaccinium floribundum,Vaccinium floribundum,NA
April,ACJ,C,5,Forb,Orchidaceae,Pterichis sp1,Pterichis sp1,NA
April,ACJ,C,1,Forb,Asteraceae,Senecio rhizomatosus,Senecio rhizomathus,NA
April,ACJ,C,5,Woody,Ericaceae,Vaccinium floribundum,Vaccinium floribundum,NA
April,ACJ,B,2,Gramminoid,Poaceae,Not stipa softer,Calamagrostis tarmensis,NA
April,TRE,C,1,Forb,Orchidaceae,Pterichis sp1,Pterichis sp1,NA
April,WAY,C,4,Gramminoid,Cyperaceae,Carex pedunculado largo,Carex cf. crinalis,NA
April,ACJ,C,3,Forb,Asteraceae,Senecio rhizomatosus,Senecio rhizomathus,NA
April,ACJ,C,5,Gramminoid,Juncaceae,Luzula narrow,Luzula racemosa,NA
April,TRE,C,1,Gramminoid,Poaceae,Calamagrostis beauty,Calamagrostis cf. amoena,NA
April,ACJ,C,5,Woody,Ericaceae,Gaultheria glomerata,Gaultheria glomerata,NA
April,TRE,C,1,Woody,Ericaceae,Vaccinium floribundum,Vaccinium floribundum,NA
April,TRE,C,5,Woody,Ericaceae,Gaultheria glomerata,Gaultheria glomerata,NA
April,TRE,C,1,Forb,Gentianaceae,Gentiana sedifolia,Gentiana sedifolia,NA
April,ACJ,C,1,Forb,Orchidaceae,Cyrtochilum mystacinum,Cyrtochilum mystacinum,NA
April,TRE,C,2,Gramminoid,Poaceae,Paspalum bonplandianum,Paspalum bonplandianum,NA
April,TRE,C,3,Forb,Euphobiaceae,Euphorbia thymifolia,Euphorbia huanchahana,NA
April,TRE,C,1,Forb,Asteraceae,Perezia pungens,Perezia pungens,NA
April,PIL,C,3,Forb,Rosaceae,Alchemilla vulcanica,Lachemilla jamesonii,NA
April,TRE,C,1,Woody,Asteraceae,Baccharis caespitosa,Baccharis caespitosa,NA
April,ACJ,C,1,Woody,Ericaceae,Gaultheria vaccinioides,Gaultheria vaccinioides,NA
April,TRE,C,1,Gramminoid,Poaceae,Agrostis sp2,Agrostis mertensii,NA
April,TRE,C,2,Woody,Ericaceae,Pernettya prostrata,Pernettya prostrata,NA
April,TRE,C,3,Forb,Asteraceae,Hypochaeris taraxacoides,Hypochaeris taraxacoides,NA
April,ACJ,B,2,Forb,Asteraceae,Baccharis caespitosa,Laestadia musicola,NA
April,TRE,C,1,Forb,Asteraceae,Hypochaeris taraxacoides,Hypochaeris taraxacoides,NA
April,TRE,C,1,Fern,Lycopodiaceae,Lycopodium clavatum,Lycopodium clavatum,NA
April,TRE,C,4,Forb,Rosaceae,Alchemilla vulcanica,Lachemilla jamesonii,NA
April,TRE,C,4,Forb,Asteraceae,Hypochaeris taraxacoides,Hypochaeris taraxacoides,NA
April,ACJ,C,4,Forb,Iridaceae,Sisyrinchium vaginatum,Sisyrinchium vaginatum,NA
April,TRE,C,1,Gramminoid,Poaceae,Agrostis sp1,Agrostis trichodes,NA
April,ACJ,C,1,Forb,Asteraceae,Senecio burkartii,Senecio burkartii,NA
